"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-amer.entity.maas.migration-state.v1","","100","","","359.21GB","","false",""
"any-amer.entity.maas.observation.ad-hoc.v2","","30","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-dtc.v1","","30","","","113.39GB","","false",""
"any-amer.entity.maas.observation.commerce-dtc.v2","","30","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.exporter-result.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.paypro.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.subscription.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.v2","","30","","","26.91GB","","false",""
"any-amer.entity.maas.observation.consent.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.consent.v2","","30","","","17.44GB","","false",""
"any-amer.entity.maas.observation.partner-integration.v2","","30","","","0B","","false",""
"any-amer.entity.maas.observation.preferences.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.preferences.v2","","30","","","118.66GB","","false",""
"any-amer.entity.maas.observation.silhouette.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.silhouette.v2","","30","","","26.4GB","","false",""
"any-amer.entity.maas.observation.user-account.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.user-account.v2","","30","","","44.66GB","","false",""
"any-amer.entity.maas.observation.user-authentication.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.user-authentication.v2","","30","","","33.99GB","","false",""
"any-amer.entity.maas.observation.user-profile.v1","","30","","","0B","","false",""
"any-amer.entity.maas.observation.user-profile.v2","","30","","","30.61GB","","false",""
"any-amer.event.maas.ad-hoc.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.commerce-iap.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.commerce.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.consent.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.error.ad-hoc.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.commerce-iap.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.commerce.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.consent.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.partner-integration-unregistered.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.partner-integration.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.preferences.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.silhouette.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.user-account.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.user-authentication.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.user-profile.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.viewer-my-list.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.viewer-playback-marker.v1","","10","","","0B","","false",""
"any-amer.event.maas.error.viewer-watch-history.v1","","10","","","0B","","false",""
"any-amer.event.maas.export.v1","","30","","","0B","","false",""
"any-amer.event.maas.migration-state.v1","","100","","","0B","","false",""
"any-amer.event.maas.observation.partner-integration.v1","","30","","","610B","","false",""
"any-amer.event.maas.partner-integration-unregistered.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.partner-integration.v1","","200","","0B/s","1.79KB","","false",""
"any-amer.event.maas.pending.commerce-iap.v1","","30","","","0B","","false",""
"any-amer.event.maas.pending.commerce.v1","","30","","","0B","","false",""
"any-amer.event.maas.pending.consent.v1","","30","","","0B","","false",""
"any-amer.event.maas.pending.partner-integration.v1","","60","","","0B","","false",""
"any-amer.event.maas.pending.preferences.v1","","30","","","0B","","false",""
"any-amer.event.maas.pending.silhouette.v1","","30","","","0B","","false",""
"any-amer.event.maas.pending.user-authentication.v1","","30","","","0B","","false",""
"any-amer.event.maas.pending.user-profile.v1","","30","","","0B","","false",""
"any-amer.event.maas.preferences.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.retry.v1","","30","","","0B","","false",""
"any-amer.event.maas.silhouette.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.user-account.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.user-authentication.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.user-profile.v1","","100","","0B/s","0B","","false",""
"any-amer.event.maas.viewer-my-list.v1","","200","","0B/s","0B","","false",""
"any-amer.event.maas.viewer-playback-marker.v1","","200","","0B/s","0B","","false",""
"any-amer.event.maas.viewer-watch-history.v1","","100","","0B/s","0B","","false",""
"any-latam.entity.maas.migration-state.v1","","100","","","572.19GB","","false",""
"any-latam.entity.maas.observation.ad-hoc.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.commerce-dtc.v1","","30","","","98.64GB","","false",""
"any-latam.entity.maas.observation.commerce-dtc.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.commerce-iap.exporter-result.v1","","30","","","9.06GB","","false",""
"any-latam.entity.maas.observation.commerce-iap.paypro.v1","","30","","","56.81GB","","false",""
"any-latam.entity.maas.observation.commerce-iap.subscription.v1","","30","","","23.56GB","","false",""
"any-latam.entity.maas.observation.commerce-iap.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.consent.v1","","30","","","14.08GB","","false",""
"any-latam.entity.maas.observation.consent.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.partner-integration.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.preferences.v1","","30","","","0B","","false",""
"any-latam.entity.maas.observation.preferences.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.silhouette.v1","","30","","","0B","","false",""
"any-latam.entity.maas.observation.silhouette.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.user-account.v1","","30","","","15.88GB","","false",""
"any-latam.entity.maas.observation.user-account.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.user-authentication.v1","","30","","","15.31GB","","false",""
"any-latam.entity.maas.observation.user-authentication.v2","","30","","","0B","","false",""
"any-latam.entity.maas.observation.user-profile.v1","","30","","","30.95GB","","false",""
"any-latam.entity.maas.observation.user-profile.v2","","30","","","0B","","false",""
"any-latam.event.maas.ad-hoc.v1","","100","","","0B","","false",""
"any-latam.event.maas.commerce-iap.v1","","100","","","0B","","false",""
"any-latam.event.maas.commerce.v1","","100","","","0B","","false",""
"any-latam.event.maas.consent.v1","","100","","","0B","","false",""
"any-latam.event.maas.error.ad-hoc.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.commerce-iap.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.commerce.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.consent.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.partner-integration-unregistered.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.partner-integration.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.preferences.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.silhouette.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.user-account.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.user-authentication.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.user-profile.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.viewer-my-list.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.viewer-playback-marker.v1","","10","","","0B","","false",""
"any-latam.event.maas.error.viewer-watch-history.v1","","10","","","0B","","false",""
"any-latam.event.maas.export.v1","","30","","","0B","","false",""
"any-latam.event.maas.migration-state.v1","","100","","","0B","","false",""
"any-latam.event.maas.observation.partner-integration.v1","","30","","","0B","","false",""
"any-latam.event.maas.partner-integration-unregistered.v1","","100","","","0B","","false",""
"any-latam.event.maas.partner-integration.v1","","200","","","0B","","false",""
"any-latam.event.maas.pending.commerce-iap.v1","","30","","","0B","","false",""
"any-latam.event.maas.pending.commerce.v1","","30","","","0B","","false",""
"any-latam.event.maas.pending.consent.v1","","30","","","0B","","false",""
"any-latam.event.maas.pending.partner-integration.v1","","60","","","0B","","false",""
"any-latam.event.maas.pending.preferences.v1","","30","","","0B","","false",""
"any-latam.event.maas.pending.silhouette.v1","","30","","","0B","","false",""
