"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-apac.entity.maas.migration-state.v1","","100","","","25.6GB","","false",""
"any-apac.entity.maas.observation.ad-hoc.v2","","30","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-dtc.v1","","30","","","577.35MB","","false",""
"any-apac.entity.maas.observation.commerce-dtc.v2","","30","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.exporter-result.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.paypro.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.subscription.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.v2","","30","","","4.91GB","","false",""
"any-apac.entity.maas.observation.consent.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.consent.v2","","30","","","0B","","false",""
"any-apac.entity.maas.observation.partner-integration.v2","","30","","","0B","","false",""
"any-apac.entity.maas.observation.preferences.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.preferences.v2","","30","","","0B","","false",""
"any-apac.entity.maas.observation.silhouette.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.silhouette.v2","","30","","","0B","","false",""
"any-apac.entity.maas.observation.user-account.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.user-account.v2","","30","","","12.53GB","","false",""
"any-apac.entity.maas.observation.user-authentication.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.user-authentication.v2","","30","","","1.01GB","","false",""
"any-apac.entity.maas.observation.user-profile.v1","","30","","","0B","","false",""
"any-apac.entity.maas.observation.user-profile.v2","","30","","","0B","","false",""
"any-apac.event.maas.ad-hoc.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.commerce-iap.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.commerce.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.consent.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.error.ad-hoc.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.commerce-iap.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.commerce.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.consent.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.partner-integration-unregistered.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.partner-integration.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.preferences.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.silhouette.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.user-account.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.user-authentication.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.user-profile.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.viewer-my-list.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.viewer-playback-marker.v1","","10","","","0B","","false",""
"any-apac.event.maas.error.viewer-watch-history.v1","","10","","","0B","","false",""
"any-apac.event.maas.export.v1","","30","","","0B","","false",""
"any-apac.event.maas.migration-state.v1","","100","","","2.92MB","","false",""
"any-apac.event.maas.observation.partner-integration.v1","","30","","","1.14MB","","false",""
"any-apac.event.maas.partner-integration-unregistered.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.partner-integration.v1","","200","","0B/s","3.85MB","","false",""
"any-apac.event.maas.pending.commerce-iap.v1","","30","","","0B","","false",""
"any-apac.event.maas.pending.commerce.v1","","30","","","0B","","false",""
"any-apac.event.maas.pending.consent.v1","","30","","","0B","","false",""
"any-apac.event.maas.pending.partner-integration.v1","","60","","","0B","","false",""
"any-apac.event.maas.pending.preferences.v1","","30","","","0B","","false",""
"any-apac.event.maas.pending.silhouette.v1","","30","","","0B","","false",""
"any-apac.event.maas.pending.user-authentication.v1","","30","","","0B","","false",""
"any-apac.event.maas.pending.user-profile.v1","","30","","","0B","","false",""
"any-apac.event.maas.preferences.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.retry.v1","","30","","","246.28KB","","false",""
"any-apac.event.maas.silhouette.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.user-account.v1","","100","","0B/s","971.8KB","","false",""
"any-apac.event.maas.user-authentication.v1","","100","","0B/s","141.29KB","","false",""
"any-apac.event.maas.user-profile.v1","","100","","0B/s","0B","","false",""
"any-apac.event.maas.viewer-my-list.v1","","200","","0B/s","0B","","false",""
"any-apac.event.maas.viewer-playback-marker.v1","","200","","0B/s","0B","","false",""
"any-apac.event.maas.viewer-watch-history.v1","","100","","0B/s","0B","","false",""
"beam-apac.ams.test.ondemand.v1","","3","","","152B","","false",""
