"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-emea.entity.maas.migration-state.v1","","100","","","212.06GB","","false",""
"any-emea.entity.maas.observation.ad-hoc.v2","","30","","","0B","","false",""
"any-emea.entity.maas.observation.commerce-dtc.v1","","30","","","100.46GB","","false",""
"any-emea.entity.maas.observation.commerce-dtc.v2","","30","","","0B","","false",""
"any-emea.entity.maas.observation.commerce-iap.exporter-result.v1","","30","","","1.84GB","","false",""
"any-emea.entity.maas.observation.commerce-iap.paypro.v1","","30","","","44.73GB","","false",""
"any-emea.entity.maas.observation.commerce-iap.subscription.v1","","30","","","3GB","","false",""
"any-emea.entity.maas.observation.commerce-iap.v2","","30","","","0B","","false",""
"any-emea.entity.maas.observation.consent.v1","","30","","","0B","","false",""
"any-emea.entity.maas.observation.consent.v2","","30","","","3.69GB","","false",""
"any-emea.entity.maas.observation.partner-integration.v2","","30","","","0B","","false",""
"any-emea.entity.maas.observation.preferences.v1","","30","","","0B","","false",""
"any-emea.entity.maas.observation.preferences.v2","","30","","","0B","","false",""
"any-emea.entity.maas.observation.silhouette.v1","","30","","","0B","","false",""
"any-emea.entity.maas.observation.silhouette.v2","","30","","","0B","","false",""
"any-emea.entity.maas.observation.user-account.v1","","30","","","7.55GB","","false",""
"any-emea.entity.maas.observation.user-account.v2","","30","","","8GB","","false",""
"any-emea.entity.maas.observation.user-authentication.v1","","30","","","7.69GB","","false",""
"any-emea.entity.maas.observation.user-authentication.v2","","30","","","6.41GB","","false",""
"any-emea.entity.maas.observation.user-profile.v1","","30","","","21.71GB","","false",""
"any-emea.entity.maas.observation.user-profile.v2","","30","","","4.3GB","","false",""
"any-emea.event.maas.ad-hoc.v1","","100","","","0B","","false",""
"any-emea.event.maas.commerce-iap.v1","","100","","","0B","","false",""
"any-emea.event.maas.commerce.v1","","100","","","5.33GB","","false",""
"any-emea.event.maas.consent.v1","","100","","","20.21MB","","false",""
"any-emea.event.maas.error.ad-hoc.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.commerce-iap.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.commerce.v1","","10","","","275.81MB","","false",""
"any-emea.event.maas.error.consent.v1","","10","","","1.38MB","","false",""
"any-emea.event.maas.error.partner-integration-unregistered.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.partner-integration.v1","","10","","","4.03MB","","false",""
"any-emea.event.maas.error.preferences.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.silhouette.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.user-account.v1","","10","","","1.28MB","","false",""
"any-emea.event.maas.error.user-authentication.v1","","10","","","1.27MB","","false",""
"any-emea.event.maas.error.user-profile.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.viewer-my-list.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.viewer-playback-marker.v1","","10","","","0B","","false",""
"any-emea.event.maas.error.viewer-watch-history.v1","","10","","","0B","","false",""
"any-emea.event.maas.export.v1","","30","","","0B","","false",""
"any-emea.event.maas.migration-state.v1","","100","","","0B","","false",""
"any-emea.event.maas.observation.partner-integration.v1","","30","","","23.07MB","","false",""
"any-emea.event.maas.partner-integration-unregistered.v1","","100","","","0B","","false",""
"any-emea.event.maas.partner-integration.v1","","200","","","84.74MB","","false",""
"any-emea.event.maas.pending.commerce-iap.v1","","30","","","0B","","false",""
"any-emea.event.maas.pending.commerce.v1","","30","","0B/s","3.54TB","","false",""
"any-emea.event.maas.pending.consent.v1","","30","","","10.24GB","","false",""
"any-emea.event.maas.pending.partner-integration.v1","","60","","","187.43GB","","false",""
"any-emea.event.maas.pending.preferences.v1","","30","","","0B","","false",""
"any-emea.event.maas.pending.silhouette.v1","","30","","","0B","","false",""
"any-emea.event.maas.pending.user-authentication.v1","","30","","","10.22GB","","false",""
"any-emea.event.maas.pending.user-profile.v1","","30","","","0B","","false",""
"any-emea.event.maas.preferences.v1","","100","","","0B","","false",""
"any-emea.event.maas.retry.v1","","30","","","0B","","false",""
"any-emea.event.maas.silhouette.v1","","100","","","0B","","false",""
"any-emea.event.maas.user-account.v1","","100","","","25.75MB","","false",""
"any-emea.event.maas.user-authentication.v1","","100","","","25.81MB","","false",""
"any-emea.event.maas.user-profile.v1","","100","","","0B","","false",""
"any-emea.event.maas.viewer-my-list.v1","","200","","","0B","","false",""
"any-emea.event.maas.viewer-playback-marker.v1","","200","","","0B","","false",""
"any-emea.event.maas.viewer-watch-history.v1","","100","","","0B","","false",""
