"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-any.dcp-databricks.isdk.growth-marketing.json.v1","","64","7.83MB/s","7.64MB/s","418.78GB","","false",""
"any-any.dcp-databricks.isdk.json.v1","","512","49.15MB/s","49.12MB/s","2.45TB","","false",""
"beam-any.dcp-databricks.essdk.json.v1","","256","","0B/s","0B","","false",""
"client.events.v1","","20","","","0B","","false",""
"dlq-lcc-m8qo7q","","1","","","0B","","false",""
"entity.telemetry-dlq.json.v1","","20","37B/s","","18.57MB","","false",""
"entity.telemetry-enriched-malformed.json.v1","","16","196.22KB/s","196.43KB/s","173.01GB","","false",""
"entity.telemetry-enriched.json.v1","","1024","79.04MB/s","79.04MB/s","3.92TB","","false",""
"entity.telemetry-enriched.json.v1.malformed","","16","","","0B","","false",""
"entity.telemetry-ingress.http.v1","","1024","220.17MB/s","220.17MB/s","10.52TB","","false",""
"event.laas.backend.v1","","20","","","0B","","false",""
"observability.providence-multitenant.json.v1","","128","2.32MB/s","9.29MB/s","138.32GB","","false",""
"observability.providence.json.v2","","256","21.25MB/s","85.02MB/s","1.08TB","","false",""
