"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-amer.entity.maas.migration-state.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-dtc.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.exporter-result.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.paypro.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.subscription.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.consent.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-account.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-authentication.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-profile.v1","","3","","","0B","","false",""
"any-amer.event.maas.commerce-iap.v1","","3","","","0B","","false",""
"any-amer.event.maas.commerce.v1","","3","","","0B","","false",""
"any-amer.event.maas.consent.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.commerce-iap.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.commerce.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.consent.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.partner-integration-unregistered.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.partner-integration.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.user-account.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.user-authentication.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.user-profile.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.viewer-my-list.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.viewer-playback-marker.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.viewer-watch-history.v1","","3","","","0B","","false",""
"any-amer.event.maas.export.v1","","3","","","0B","","false",""
"any-amer.event.maas.migration-state.v1","","3","","","0B","","false",""
"any-amer.event.maas.observation.partner-integration.v1","","3","","","0B","","false",""
"any-amer.event.maas.partner-integration-unregistered.v1","","3","","","0B","","false",""
"any-amer.event.maas.partner-integration.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.commerce-iap.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.commerce.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.consent.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.partner-integration.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.user-authentication.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.user-profile.v1","","3","","","0B","","false",""
"any-amer.event.maas.retry.v1","","3","","","0B","","false",""
"any-amer.event.maas.user-account.v1","","3","","","0B","","false",""
"any-amer.event.maas.user-authentication.v1","","3","","","0B","","false",""
"any-amer.event.maas.user-profile.v1","","3","","","0B","","false",""
"any-amer.event.maas.viewer-my-list.v1","","3","","","0B","","false",""
"any-amer.event.maas.viewer-playback-marker.v1","","3","","","0B","","false",""
"any-amer.event.maas.viewer-watch-history.v1","","3","","","0B","","false",""
"any-latam.entity.maas.migration-state.v1","","3","","","0B","","false",""
"any-latam.entity.maas.observation.commerce-dtc.v1","","3","","","0B","","false",""
