"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","0B/s","150B/s","895.77MB","4","false",""
"aggregate.airing.v5","","20","","0B/s","0B","","false",""
"aggregate.airingNotification.v4","","20","0B/s","475B/s","945.04MB","12","false",""
"aggregate.airingNotification.v5","","20","","","0B","","false",""
"aggregate.article.v4","","20","4.49KB/s","4.65KB/s","819.56MB","4","false",""
"aggregate.articleNotification.v4","","20","5.11KB/s","","915.52MB","","false",""
"aggregate.brand.v4","","30","","237B/s","71.01KB","4","false",""
"aggregate.brandNotification.v4","","20","","","12.71KB","","false",""
"aggregate.edit.v4","","30","0B/s","234B/s","15.16GB","4","false",""
"aggregate.editNotification.v4","","20","25B/s","","14.59GB","","false",""
"aggregate.offering.v4","","50","38B/s","414B/s","2.99GB","4","false",""
"aggregate.offering.v5","","50","","0B/s","0B","","false",""
"aggregate.offeringNotification.v4","","20","51B/s","2.6KB/s","2.63GB","48","false",""
"aggregate.offeringNotification.v5","","20","","","0B","","false",""
"aggregate.program.v4","","30","25.79KB/s","26.21KB/s","1.16GB","4","false",""
"aggregate.programNotification.v4","","20","41.93KB/s","","1.26GB","","false",""
"aggregate.season.v4","","30","","218B/s","18.77MB","4","false",""
"aggregate.seasonNotification.v4","","20","","","15.4MB","","false",""
"aggregate.series.v4","","30","","214B/s","18.36MB","4","false",""
"aggregate.seriesNotification.v4","","20","","","16.52MB","","false",""
"aggregate.socialChannel.v4","","20","0B/s","160B/s","62.76MB","4","false",""
"aggregate.socialChannelNotification.v4","","20","0B/s","","61.48MB","","false",""
"aggregate.socialMedia.v4","","20","147B/s","323B/s","2.05GB","4","false",""
"aggregate.socialMediaNotification.v4","","20","138B/s","","1.91GB","","false",""
"any-amer.api.partner-fulfillment.actions.v1","","20","64B/s","56B/s","18.24MB","20","false",""
"any-amer.api.payments.automated.receipts.v1","","20","","","0B","","false",""
"any-amer.api.payments.automated.v1","","80","","","0B","","false",""
"any-amer.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"any-amer.api.payments.modifications.v1","","20","","","0B","","false",""
"any-amer.entity.billing-address.v1","","20","","","0B","","false",""
"any-amer.entity.extra-member.access.v1","","3","","","56.53KB","3","false",""
"any-amer.entity.extra-member.slot.v1","","3","","","55.13KB","3","false",""
"any-amer.entity.household.v1","","20","","","53.6KB","19","false",""
"any-amer.entity.iap-consumable.v1","","3","","","0B","","false",""
"any-amer.entity.idp.v1","","20","1.11KB/s","2.11KB/s","36.38GB","20","false",""
"any-amer.entity.partner-fulfillment.partner-fulfillment.v1","","6","43B/s","110B/s","456.36MB","6","false",""
"any-amer.entity.payment-method.v1","","20","","","0B","","false",""
"any-amer.entity.payment-transaction.v1","","20","","","0B","","false",""
"any-amer.event.extra-member.access.v1","","3","","","95.07KB","3","false",""
"any-amer.event.extra-member.slot.v1","","3","","","98.22KB","3","false",""
"any-amer.event.gauth.userinfo","","20","79B/s","89B/s","182.38MB","20","false",""
"any-amer.event.household.v1","","20","","","95.66KB","24","false",""
"any-amer.event.iap-consumable-audit.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.amazon-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.apple-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.google-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.roku-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.samsung-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.v1","","3","","","0B","","false",""
"any-amer.event.idp.v1","","20","7.36KB/s","45.65KB/s","525.62MB","80","false",""
"any-amer.event.payment-method.v1","","20","","","0B","","false",""
"any-amer.event.payment-transaction.v1","","20","","","0B","","false",""
"any-amer.flash.mitigation.message.v1","","6","5B/s","10B/s","6.35MB","5","false",""
"any-amer.flash.session.state.change.v1","","10","471.54KB/s","944.3KB/s","119.68GB","10","false",""
"any-amer.internal.event.commerce-exporter.processed.v1","","20","","","0B","","false",""
"any-amer.internal.event.commerce-exporter.unprocessed.v1","","20","","","0B","","false",""
"any-amer.internal.event.generic-exporter.processed.v1","","3","","","0B","","false",""
"any-amer.internal.event.generic-exporter.unprocessed.v1","","3","","","0B","","false",""
"any-amer.internal.event.payment-method.sync.receipts.v2","","20","","","0B","","false",""
"any-amer.internal.event.payment-method.sync.v2","","20","","","0B","","false",""
"any-amer.internal.event.payment-session.v1","","20","","","0B","","false",""
"any-amer.internal.event.payment.attributes.v1","","20","","","0B","","false",""
"any-amer.internal.event.payment.notification.adyen.v0","","20","","","0B","","false",""
"any-amer.internal.event.payment.notification.paypal.v0","","20","","","0B","","false",""
"any-amer.internal.event.payment.notification.spreedly.v0","","20","","","0B","","false",""
"any-amer.internal.event.payment.notification.spreedly.v1","","20","","","0B","","false",""
"any-amer.internal.event.payment.notification.stripe.v0","","20","","","0B","","false",""
"any-amer.internal.event.payment.pending-payment-update.v0","","20","","","0B","","false",""
"any-amer.internal.event.payment.reconciliation.v0","","6","","","0B","","false",""
"any-amer.internal.event.payment.reference.mapping.v1","","20","","","0B","","false",""
"any-amer.internal.event.sap-exporter-dry-run.ppv-task-processing.v1","","10","","","0B","","false",""
"any-amer.internal.event.sap-exporter-dry-run.scheduled-task-processing.v1","","10","787B/s","772B/s","5.98MB","3","false",""
"any-amer.internal.event.sap-exporter.ppv-task-processing.v1","","6","","","0B","","false",""
"any-amer.internal.event.sap-exporter.scheduled-task-processing.v1","","6","614B/s","710B/s","12.59MB","3","false",""
"any-amer.internal.event.tax-record.v1","","20","","","0B","","false",""
"any-amer.internal.event.transaction.sync.receipts.v2","","80","","","0B","","false",""
"any-amer.internal.event.transaction.sync.v2","","80","","","0B","","false",""
"any-any.entity.gauth.partner.name","","20","0B/s","0B/s","2.12MB","78","false",""
"any-any.event.diana.metric.v1","","10","1.45MB/s","4.54MB/s","496.36GB","","false",""
"any-any.event.entitlements-metadata.edit-invalidation.v1","","20","0B/s","2.08KB/s","6.93MB","9","false",""
"any-any.event.entitlements-metadata.region-shape-invalidation.v1","","20","","0B/s","0B","4","false",""
"any-any.event.entitlements-metadata.tvod-invalidation.v1","","20","","0B/s","0B","","false",""
"any-any.event.flash.metric.v1","","6","4B/s","36B/s","6.6MB","6","false",""
"any-any.event.gauth.partner.name","","20","","","0B","","false",""
"any-any.internal.event.sap-exporter-dry-run.ppv-task-processing.v1","","10","","","0B","","false",""
"any-any.internal.event.sap-exporter-dry-run.scheduled-task-processing.v1","","10","","","0B","","false",""
"any-apac.event.iap-consumable.amazon-notification.v1","","3","","","0B","","false",""
"any-apac.event.iap-consumable.apple-notification.v1","","3","","","0B","","false",""
"any-apac.event.iap-consumable.google-notification.v1","","3","","","0B","","false",""
"any-apac.event.iap-consumable.roku-notification.v1","","3","","","0B","","false",""
"any-apac.event.iap-consumable.samsung-notification.v1","","3","","","0B","","false",""
"any-emea.event.iap-consumable.amazon-notification.v1","","3","","","0B","","false",""
"any-emea.event.iap-consumable.apple-notification.v1","","3","","","0B","","false",""
"any-emea.event.iap-consumable.google-notification.v1","","3","","","0B","","false",""
"any-emea.event.iap-consumable.roku-notification.v1","","3","","","0B","","false",""
"any-emea.event.iap-consumable.samsung-notification.v1","","3","","","0B","","false",""
"any-emea.internal.event.payment.notification.spreedly.v0","","20","","0B/s","0B","","false",""
"any-latam.api.partner-fulfillment.actions.v1","","20","","0B/s","0B","","false",""
"any-latam.api.payments.automated.receipts.v1","","20","3B/s","7B/s","376.18MB","20","false",""
"any-latam.api.payments.automated.receipts.v2","","20","","","0B","20","false",""
"any-latam.api.payments.automated.v1","","80","0B/s","0B/s","759.83MB","15","false",""
"any-latam.api.payments.automated.v2","","80","","","0B","","false",""
"any-latam.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"any-latam.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"any-latam.api.payments.modifications.v1","","20","","","0B","15","false",""
"any-latam.api.payments.modifications.v2","","20","","","0B","","false",""
"any-latam.api.subscriptions.partner-subscriptions.receipts.v1","","20","","","0B","","false",""
"any-latam.api.subscriptions.partner-subscriptions.v1","","20","","","0B","","false",""
