"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-emea.event.gauth.audit","","20","560B/s","542B/s","2.01GB","","false",""
"any-emea.event.gauth.partner","","20","303B/s","303B/s","541.25MB","","false",""
"any-emea.event.gauth.partnerFulfillmentConfirmation.v1","","20","","0B/s","0B","","false",""
"any-emea.event.gauth.user","","20","43B/s","129B/s","56.98MB","","false",""
"any-emea.event.lexicon.audit.databricks","","20","","","0B","","false",""
"any-emea.max.auditlog","","48","201B/s","201B/s","38.26MB","","false",""
"any-emea.max.b2b.subscription","","24","","0B/s","0B","","false",""
"any-emea.max.refresh.b2b.subscription","","24","","0B/s","0B","","false",""
"any-emea.max.refresh.b2b.subscription.high","","18","","0B/s","0B","","false",""
"any-emea.max.refresh.b2b.subscription.low","","6","","0B/s","0B","","false",""
"any-emea.max.refresh.b2b.subscription.medium","","12","","0B/s","0B","","false",""
"any-emea.refresh.b2b.subscription","","24","","0B/s","0B","","false",""
"any-emea.refresh.b2b.subscription.high","","18","","0B/s","0B","","false",""
"any-emea.refresh.b2b.subscription.low","","6","","0B/s","0B","","false",""
"any-emea.refresh.b2b.subscription.medium","","12","","0B/s","0B","","false",""
"beam-emea.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-emea.entity.lightning-bird.v1","","6","","","0B","","false",""
"beam-emea.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
"beam-emea.event.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-emea.event.capabilities.user-ppv.receipt.v1","","40","","","0B","","false",""
"beam-emea.event.capabilities.user-ppv.v1","","40","","0B/s","0B","","false",""
"beam-emea.event.gmssLogEvent.v1","","20","","","0B","","false",""
"beam-emea.event.lightning-bird.v1","","6","","","0B","","false",""
"beam-emea.event.ssaiExternalTrackers.v1","","20","233.93KB/s","232.69KB/s","9.73GB","","false",""
"beam-emea.event.ssaiXcoderNotification.v1","","20","","3.12KB/s","343.91GB","","false",""
"beam-emea.heartbeat-signal","","20","43.83KB/s","43.85KB/s","303.86MB","","false",""
"beam-emea.morpheus-notification","","20","","","0B","","false",""
"dplus-emea.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"dplus-emea.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
"dplus-emea.event.capabilities.user-capability.v1","","40","","","0B","","false",""
"dplus-emea.event.capabilities.user-ppv.receipt.v1","","40","","","0B","","false",""
"dplus-emea.event.capabilities.user-ppv.v1","","40","","","0B","","false",""
"euc1.any-emea.api.payments.automated.receipts.v1","","20","","","309.03MB","","false",""
"euc1.any-emea.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"euc1.any-emea.api.payments.automated.v1","","80","","","573.24MB","","false",""
"euc1.any-emea.api.payments.automated.v2","","80","","","0B","","false",""
"euc1.any-emea.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"euc1.any-emea.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"euc1.any-emea.api.payments.modifications.v1","","20","","","2.43KB","","false",""
"euc1.any-emea.api.payments.modifications.v2","","20","","","0B","","false",""
"euc1.any-emea.entity.billing-address.v1","","20","","","0B","","false",""
"euc1.any-emea.entity.payment-method.v1","","20","","","15.45GB","","false",""
"euc1.any-emea.entity.payment-receipt.v1","","20","","","0B","","false",""
"euc1.any-emea.entity.payment-transaction.v1","","20","","","125.58GB","","false",""
"euc1.any-emea.entity.payment-transaction.v2","","20","","","27.56GB","","false",""
"euc1.any-emea.entity.spreedly-token-details.v1","","20","","","4.45GB","","false",""
"euc1.any-emea.event.campaign.internal.campaign-code.v1","","10","","","458.25KB","","false",""
"euc1.any-emea.event.gauth.audit.transformed","","20","","","14.32GB","","false",""
"euc1.any-emea.event.messaging-platform.highpri","","6","","","0B","","false",""
"euc1.any-emea.event.messaging-platform.lowpri","","6","","","128.16MB","","false",""
"euc1.any-emea.event.payment-method.v1","","20","","","21.98MB","","false",""
"euc1.any-emea.event.payment-provider-api-invocation.v1","","20","","","6.76GB","","false",""
"euc1.any-emea.event.payment-provider-notification.v1","","20","","","11.07GB","","false",""
"euc1.any-emea.event.payment-transaction.v1","","20","","","2.94GB","","false",""
"euc1.any-emea.event.payment-transaction.v2","","20","","","2.9GB","","false",""
"euc1.any-emea.event.subscription-payment-failure.v1","","20","","","9.33MB","","false",""
"euc1.any-emea.internal.event.commerce-exporter.processed.v1","","20","","","3.09GB","","false",""
"euc1.any-emea.internal.event.commerce-exporter.unprocessed.v1","","20","","","1.53GB","","false",""
"euc1.any-emea.internal.event.payment-method.sync.receipts.v2","","20","","","81.9MB","","false",""
"euc1.any-emea.internal.event.payment-method.sync.v2","","20","","","296.02MB","","false",""
"euc1.any-emea.internal.event.payment-session.v1","","20","","","2.09GB","","false",""
"euc1.any-emea.internal.event.payment.api-invocation.spreedly.v0","","20","","","7.88GB","","false",""
"euc1.any-emea.internal.event.payment.attributes.v1","","20","","","1.5GB","","false",""
"euc1.any-emea.internal.event.payment.notification.adyen.v0","","20","","","5.48GB","","false",""
"euc1.any-emea.internal.event.payment.notification.dlocal.v0","","20","","","0B","","false",""
"euc1.any-emea.internal.event.payment.notification.iyzico.v0","","20","","","145.29MB","","false",""
"euc1.any-emea.internal.event.payment.notification.paypal.v0","","20","","","308.37MB","","false",""
"euc1.any-emea.internal.event.payment.notification.spreedly.v1","","20","","","0B","","false",""
"euc1.any-emea.internal.event.payment.notification.stripe.v0","","20","","","0B","","false",""
"euc1.any-emea.internal.event.payment.pending-payment-update.v0","","20","","","876.79KB","","false",""
"euc1.any-emea.internal.event.payment.reference.mapping.v1","","20","","","3.29GB","","false",""
"euc1.any-emea.internal.event.tax-record.v1","","20","","","0B","","false",""
"euc1.any-emea.internal.event.transaction.sync.receipts.v2","","80","","","82.8MB","","false",""
"euc1.any-emea.internal.event.transaction.sync.receipts.v3","","80","","","0B","","false",""
"euc1.any-emea.internal.event.transaction.sync.v2","","80","","","290.11MB","","false",""
"euc1.any-emea.internal.event.transaction.sync.v3","","80","","","0B","","false",""
"euc1.beam-emea.api.iap-subscription.action-outcome.v1","","20","","","73.07KB","","false",""
