"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-any.dcp-databricks.isdk.growth-marketing.json.v1","","64","7MB/s","6.98MB/s","536.45GB","","false",""
"any-any.dcp-databricks.isdk.json.v1","","512","46.73MB/s","46.85MB/s","3.09TB","512","false",""
"beam-any.dcp-databricks.essdk.json.v1","","256","","0B/s","0B","41","false",""
"client.events.v1","","20","","","0B","","false",""
"dlq-lcc-j31no2","","1","","","0B","","false",""
"dragon.connectedvideo.events.v1","","120","","","0B","","false",""
"dragon.playback.aggregations.cdnselector.v1","","16","","","0B","","false",""
"dragon.playback.samples.cdnselector.dlq.v1","","1","","","0B","","false",""
"entity.telemetry-dlq.json.v1","","20","189B/s","","20.66MB","","false",""
"entity.telemetry-enriched-malformed.json.v1","","16","163.05KB/s","163.24KB/s","206.12GB","12","false",""
"entity.telemetry-enriched.json.v1","","1024","77.9MB/s","77.86MB/s","5.13TB","44","false",""
"entity.telemetry-enriched.json.v1.malformed","","16","","","0B","","false",""
"entity.telemetry-ingress.http.v1","","1024","219.43MB/s","219.49MB/s","14.62TB","65","false",""
"event.laas.backend.v1","","20","","","0B","","false",""
"observability.providence-multitenant.any-analytics-usage-sink.json.v1","","128","2.78MB/s","2.75MB/s","160.34GB","64","false",""
"observability.providence-multitenant.json.v1","","128","1.49MB/s","5.97MB/s","108.71GB","48","false",""
"observability.providence.any-analytics-usage-sink.json.v1","","128","23.49MB/s","23.44MB/s","1.28TB","128","false",""
"observability.providence.any-sessionizer.json.v1","","128","","","0B","","false",""
"observability.providence.json.v2","","256","21.34MB/s","85.36MB/s","1.46TB","86","false",""
"observability.vei.forensic-data.v1","","10","","","0B","","false",""
