"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-any.dcp-databricks.isdk.growth-marketing.json.v1","","64","6.36MB/s","6.26MB/s","398.16GB","","false",""
"any-any.dcp-databricks.isdk.json.v1","","512","42.33MB/s","41.93MB/s","2.41TB","","false",""
"beam-any.dcp-databricks.essdk.json.v1","","256","","0B/s","0B","","false",""
"client.events.v1","","20","","","0B","","false",""
"dlq-lcc-09v292","","1","","","0B","","false",""
"entity.telemetry-dlq.json.v1","","20","0B/s","","13.47MB","","false",""
"entity.telemetry-enriched-malformed.json.v1","","16","123.44KB/s","123.28KB/s","142.35GB","","false",""
"entity.telemetry-enriched.json.v1","","1024","69.02MB/s","69.08MB/s","3.89TB","","false",""
"entity.telemetry-enriched.json.v1.malformed","","16","","","0B","","false",""
"entity.telemetry-ingress.http.v1","","1024","191.1MB/s","191.11MB/s","10.62TB","","false",""
"event.laas.backend.v1","","20","","","0B","","false",""
"observability.providence-multitenant.json.v1","","128","1.54MB/s","6.18MB/s","111.04GB","","false",""
"observability.providence.json.v2","","256","18.5MB/s","73.99MB/s","1.07TB","","false",""
