"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-apac.event.gauth.audit","","20","2.21KB/s","2.21KB/s","269.51MB","","false",""
"any-apac.event.gauth.partner","","20","254B/s","264B/s","23.58MB","","false",""
"any-apac.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-apac.event.gauth.user","","20","275B/s","826B/s","33.02MB","","false",""
"any-apac.event.lexicon.audit.databricks","","20","","","0B","","false",""
"apse1.any-any.event.entitlements-metadata.edit-invalidation.apac.v1","","20","","158B/s","8.43MB","","false",""
"apse1.any-any.event.entitlements-metadata.tvod-invalidation.apac.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.automated.receipts.v1","","20","","","6.36MB","","false",""
"apse1.any-apac.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"apse1.any-apac.api.payments.automated.v1","","80","","","12.96MB","","false",""
"apse1.any-apac.api.payments.automated.v2","","80","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.v2","","20","","","0B","","false",""
"apse1.any-apac.entity.billing-address.v1","","20","","","0B","","false",""
"apse1.any-apac.entity.payment-method.v1","","20","","","454.51MB","","false",""
"apse1.any-apac.entity.payment-receipt.v1","","20","","","0B","","false",""
"apse1.any-apac.entity.payment-transaction.v1","","20","","","1.67GB","","false",""
"apse1.any-apac.entity.payment-transaction.v2","","20","","","1.54GB","","false",""
"apse1.any-apac.entity.spreedly-token-details.v1","","20","","","148.33MB","","false",""
"apse1.any-apac.event.campaign.internal.campaign-code.v1","","10","","","138.61KB","","false",""
"apse1.any-apac.event.gauth.audit.transformed","","20","","","1.46GB","","false",""
"apse1.any-apac.event.messaging-platform.highpri","","6","","","0B","","false",""
"apse1.any-apac.event.messaging-platform.lowpri","","6","","","40.93MB","","false",""
"apse1.any-apac.event.payment-method.v1","","20","","","8.68MB","","false",""
"apse1.any-apac.event.payment-provider-api-invocation.v1","","20","","","819.58MB","","false",""
"apse1.any-apac.event.payment-provider-notification.v1","","20","","","670.3MB","","false",""
"apse1.any-apac.event.payment-transaction.v1","","20","","","339.48MB","","false",""
"apse1.any-apac.event.payment-transaction.v2","","20","","","331.93MB","","false",""
"apse1.any-apac.event.subscription-payment-failure.v1","","20","","","716.5KB","","false",""
"apse1.any-apac.internal.event.payment-method.sync.receipts.v2","","20","","","9.23MB","","false",""
"apse1.any-apac.internal.event.payment-method.sync.v2","","20","","","60.02MB","","false",""
"apse1.any-apac.internal.event.payment-session.v1","","20","","","262MB","","false",""
"apse1.any-apac.internal.event.payment.api-invocation.spreedly.v0","","20","","","1017.83MB","","false",""
"apse1.any-apac.internal.event.payment.attributes.v1","","20","","","208.25MB","","false",""
"apse1.any-apac.internal.event.payment.notification.adyen.v0","","20","","","501.39MB","","false",""
"apse1.any-apac.internal.event.payment.notification.dlocal.v0","","20","","","0B","","false",""
"apse1.any-apac.internal.event.payment.notification.paypal.v0","","20","","","38.79MB","","false",""
"apse1.any-apac.internal.event.payment.notification.spreedly.v1","","20","","","0B","","false",""
"apse1.any-apac.internal.event.payment.pending-payment-update.v0","","20","","","33.27KB","","false",""
"apse1.any-apac.internal.event.payment.reference.mapping.v1","","20","","","639.5MB","","false",""
"apse1.any-apac.internal.event.tax-record.v1","","20","","","0B","","false",""
"apse1.any-apac.internal.event.transaction.sync.receipts.v2","","80","","","5.39MB","","false",""
"apse1.any-apac.internal.event.transaction.sync.receipts.v3","","80","","","0B","","false",""
"apse1.any-apac.internal.event.transaction.sync.v2","","80","","","34.88MB","","false",""
"apse1.any-apac.internal.event.transaction.sync.v3","","80","","","0B","","false",""
"apse1.beam-apac.api.iap-subscription.action-outcome.v1","","20","","","0B","","false",""
"apse1.beam-apac.api.iap-subscription.actions.v1","","20","","","0B","","false",""
"apse1.beam-apac.entity.iap-subscription.offer-eligibility.v1","","20","","","50.6MB","","false",""
"apse1.beam-apac.entity.legal.v1","","10","","","1.85GB","","false",""
"apse1.beam-apac.entity.personalized-offers.offer.v1","","6","","","14.24MB","","false",""
"apse1.beam-apac.entity.subscription.non-paying-period.v1","","20","","","5.94MB","","false",""
"apse1.beam-apac.entity.subscription.subscription.v1","","20","","","3.7GB","","false",""
"apse1.beam-apac.entity.subscription.subscription.v2","","20","","","4.77GB","","false",""
"apse1.beam-apac.event.commercial-offers.campaign-user.v1","","10","","","208.37KB","","false",""
"apse1.beam-apac.event.global.payments.audit.v1","","50","","","192.88KB","","false",""
"apse1.beam-apac.event.iap-subscription.v1","","20","","","19.9MB","","false",""
"apse1.beam-apac.event.legal.v1","","10","","","2.7GB","","false",""
"apse1.beam-apac.event.personalized-offers.v1","","10","","","1.35MB","","false",""
"apse1.beam-apac.event.subscription.user-subscription.v1","","20","","","224.54KB","","false",""
"apse1.beam-apac.event.subscription.user-subscription.v2","","20","","","569.42MB","","false",""
"apse1.beam-apac.internal.legal.localization.v1","","10","","","0B","","false",""
"apse1.beam-apac.kinesis.to.kafka.payment-method.v1","","20","","","0B","","false",""
"apse1.beam-apac.kinesis.to.kafka.transaction.v1","","20","","","0B","","false",""
"beam-apac.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-apac.entity.lightning-bird.v1","","6","","","0B","","false",""
"beam-apac.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
