"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"__mongodb_heartbeats","","1","10B/s","","6.6MB","","false",""
"dlq-lcc-5q3y72","","1","","","0B","","false",""
"dlq-lcc-xvw1qk","","1","","","0B","","false",""
"entity.adPartner.v1","","20","","","0B","","false",""
"entity.aggregatedcontentmodel.v1","","6","","","0B","","false",""
"entity.billing-address.v1","","6","","","0B","","false",""
"entity.brand.v4","","20","","","0B","","false",""
"entity.campaign.internal.campaign-code-summary.v1","","6","","","0B","","false",""
"entity.campaign.internal.campaign.v1","","6","","","0B","","false",""
"entity.capabilities.user-capability.v2","","6","","","0B","","false",""
"entity.cms.collection-metadata.v1","","6","","","0B","","false",""
"entity.cms.hopper.v1","","6","","","0B","","false",""
"entity.cms.route-path.v2","","6","","","0B","","false",""
"entity.commercial-offers.campaign.v1","","6","","","0B","","false",""
"entity.commercial-offers.price-plan.v1","","6","","","0B","","false",""
"entity.content-promotion.campaign-candidate.v1","","21","","","0B","","false",""
"entity.creative.v4","","20","","","0B","","false",""
"entity.deliverableImage.v4","","20","","","0B","","false",""
"entity.edit.v4","","20","","","0B","","false",""
"entity.hopper.campaign-candidate.v1","","21","","","0B","","false",""
"entity.idp.user.v1","","6","","","0B","","false",""
"entity.labs.experiments.v1","","6","","","0B","","false",""
"entity.legal.v1","","6","","","0B","","false",""
"entity.lightning-bird.v1","","6","","","0B","","false",""
"entity.mezzanineManifestation.v4","","20","","","0B","","false",""
"entity.offering.v4","","20","","","0B","","false",""
"entity.payment-method.v1","","6","","","0B","","false",""
"entity.payment-transaction.v1","","6","","","0B","","false",""
"entity.person.v4","","20","","","0B","","false",""
"entity.personalized-offers.offer.v1","","6","","","17.53KB","","false",""
"entity.playlistOffering.v4","","20","","","0B","","false",""
"entity.presentationManifestation.v4","","20","","","0B","","false",""
"entity.price-plans.internal.price-plan.v1","","6","","","0B","","false",""
"entity.product-catalog.internal.feature.v1","","6","","","0B","","false",""
"entity.product-catalog.internal.product-transition.v1","","6","","","0B","","false",""
"entity.product-catalog.internal.product.v1","","6","","","0B","","false",""
"entity.product-catalog.product.v1","","6","","","0B","","false",""
"entity.program.v4","","20","","","0B","","false",""
"entity.season.v4","","20","","","0B","","false",""
"entity.series.v4","","20","","","0B","","false",""
"entity.taxonomy.v4","","20","","","0B","","false",""
"event.auditEvent.v4","","20","","","0B","","false",""
"event.campaign.internal.campaign-code-revoked.v1","","6","","","0B","","false",""
"event.campaign.internal.campaign-code.v1","","6","","","0B","","false",""
"event.capabilities.user-ppv.v1","","6","","","0B","","false",""
"event.cms.experiment.v1","","6","","","0B","","false",""
"event.commercial-offers.campaign-user.v1","","20","","","0B","","false",""
"event.commercial-offers.product-pricing.v1","","6","","","0B","","false",""
"event.communication.v1","","21","","","0B","","false",""
"event.communication.v2","","21","","","0B","","false",""
"event.content.updated.v1","","6","","","0B","","false",""
"event.iap-subscription.v1","","6","","","0B","","false",""
"event.idp.v1","","6","","","0B","","false",""
"event.ingestEvent.v4","","20","","","0B","","false",""
"event.legal.v1","","6","","","0B","","false",""
"event.lightning-bird.v1","","6","","","0B","","false",""
"event.maas.commerce.v1","","6","","","0B","","false",""
"event.maas.consent.v1","","6","","","0B","","false",""
"event.maas.partner-integration-unregistered.v1","","6","","","0B","","false",""
"event.maas.partner-integration.v1","","6","","","0B","","false",""
"event.maas.user-account.v1","","6","","","0B","","false",""
"event.maas.user-authentication.v1","","6","","","0B","","false",""
"event.maas.user-profile.v1","","6","","","0B","","false",""
"event.payment-method.v1","","6","","","0B","","false",""
"event.payment-transaction.v1","","6","","","0B","","false",""
"event.personalized-offers.v1","","6","","","0B","","false",""
"event.playabilityEvent.v4","","20","","","0B","","false",""
"event.product-catalog.v1","","6","","","0B","","false",""
"event.replay.users.v2","","6","","","0B","","false",""
"event.roku-instant-signup.v1","","6","","","0B","","false",""
"event.rollupEvent.v4","","20","","","0B","","false",""
"event.ssaiExternalTrackers.v1","","6","","","0B","","false",""
"event.ssaiInternalTrackers.v1","","6","","","0B","","false",""
"event.subscription-payment-failure.v1","","6","","","0B","","false",""
"event.users.auth-provider-added.v1","","6","","","0B","","false",""
"event.users.auth-provider-removed.v1","","6","","","0B","","false",""
"event.users.user-deleted.v1","","6","","","0B","","false",""
"event.users.v1","","21","","","0B","","false",""
"event.users.v2","","21","","","0B","","false",""
"internal.content-processing.entity.mediaWorkflow.v1","","30","","0B/s","73.66MB","","false",""
"internal.entity.content.v1","","6","","","0B","","false",""
"internal.event.content.v1","","6","","","0B","","false",""
"internal.event.payment-method.sync.receipts.v2","","6","","","0B","","false",""
"internal.event.payment-method.sync.v2","","6","","","0B","","false",""
"internal.event.payment.notification.iap.amazon.raw","","6","","","0B","","false",""
"internal.event.payment.notification.iap.apple.raw","","6","","","0B","","false",""
"internal.event.payment.notification.iap.google.raw","","6","","","0B","","false",""
"internal.event.payment.notification.iap.roku.v0","","6","","","0B","","false",""
"internal.event.payment.notification.iap.vizio.raw","","6","","","0B","","false",""
"internal.event.sap-exporter.scheduled-task-processing.v1","","6","","","0B","","false",""
"internal.event.tax-record.v1","","6","","","0B","","false",""
