"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-any.event.entitlements-metadata.edit-invalidation.apac.v1","","20","73B/s","439B/s","10.07MB","","false",""
"any-any.event.entitlements-metadata.tvod-invalidation.apac.v1","","20","","","0B","","false",""
"any-any.event.gauth.partner.name","","20","","","0B","","false",""
"any-apac.api.partner-fulfillment.actions.v1","","20","","0B/s","0B","","false",""
"any-apac.api.payments.automated.receipts.v1","","20","","","6.36MB","","false",""
"any-apac.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"any-apac.api.payments.automated.v1","","80","","","12.97MB","","false",""
"any-apac.api.payments.automated.v2","","80","","","0B","","false",""
"any-apac.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"any-apac.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"any-apac.api.payments.modifications.v1","","20","","","0B","","false",""
"any-apac.api.payments.modifications.v2","","20","","","0B","","false",""
"any-apac.api.subscriptions.partner-subscriptions.receipts.v1","","20","","","0B","","false",""
"any-apac.api.subscriptions.partner-subscriptions.v1","","20","","","0B","","false",""
"any-apac.entity.billing-address.v1","","20","","","0B","","false",""
"any-apac.entity.iap-consumable.v1","","3","","","0B","","false",""
"any-apac.entity.idp.v1","","20","156B/s","435B/s","11.32GB","","false",""
"any-apac.entity.legacy-id-mappings.legacy-sku-details.v1","","3","","","15.6KB","","false",""
"any-apac.entity.legacy-id-mappings.price-plans.v1","","3","","","11.06KB","","false",""
"any-apac.entity.legacy-id-mappings.products.v1","","3","","","88B","","false",""
"any-apac.entity.legacy-id-mappings.subscription-counts.v1","","3","","","21.07KB","","false",""
"any-apac.entity.legacy-id-mappings.subscriptions.v1","","3","","","1.58GB","","false",""
"any-apac.entity.maas.migration-state.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-dtc.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.exporter-result.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.paypro.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.subscription.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.consent.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.preferences.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.silhouette.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.user-account.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.user-authentication.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.user-profile.v1","","3","","","0B","","false",""
"any-apac.entity.payment-invoice.v1","","3","","","0B","","false",""
"any-apac.entity.payment-method.v1","","20","153B/s","671B/s","460.88MB","","false",""
"any-apac.entity.payment-receipt.v1","","20","","0B/s","0B","","false",""
"any-apac.entity.payment-transaction.v1","","20","273B/s","1.32KB/s","1.71GB","","false",""
"any-apac.entity.payment-transaction.v2","","20","151B/s","653B/s","1.55GB","","false",""
"any-apac.entity.spreedly-token-details.v1","","20","48B/s","97B/s","147.65MB","","false",""
"any-apac.event.campaign.internal.campaign-code.v1","","10","","0B/s","138.61KB","","false",""
"any-apac.event.gauth.audit","","20","1.8KB/s","1.8KB/s","1.15GB","","false",""
"any-apac.event.gauth.audit.transformed","","20","4.27KB/s","23.36KB/s","1.46GB","","false",""
"any-apac.event.gauth.partner","","20","150B/s","150B/s","69.74MB","","false",""
"any-apac.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-apac.event.gauth.user","","20","334B/s","1003B/s","203.79MB","","false",""
"any-apac.event.gauth.userinfo","","20","","","0B","","false",""
"any-apac.event.iap-consumable-audit.v1","","3","","","0B","","false",""
"any-apac.event.iap-consumable.v1","","3","","","0B","","false",""
"any-apac.event.idp.v1","","20","438B/s","1.64KB/s","44.04MB","","false",""
"any-apac.event.lexicon.audit","","20","","","0B","","false",""
"any-apac.event.lexicon.audit.databricks","","20","","","0B","","false",""
"any-apac.event.maas.commerce-iap.v1","","3","","","0B","","false",""
"any-apac.event.maas.commerce.v1","","3","","","0B","","false",""
"any-apac.event.maas.consent.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.commerce-iap.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.commerce.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.consent.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.partner-integration-unregistered.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.partner-integration.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.preferences.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.silhouette.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.user-account.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.user-authentication.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.user-profile.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.viewer-my-list.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.viewer-playback-marker.v1","","3","","","0B","","false",""
"any-apac.event.maas.error.viewer-watch-history.v1","","3","","","0B","","false",""
"any-apac.event.maas.export.v1","","3","","","0B","","false",""
"any-apac.event.maas.migration-state.v1","","3","","","0B","","false",""
"any-apac.event.maas.observation.partner-integration.v1","","3","","","0B","","false",""
"any-apac.event.maas.partner-integration-unregistered.v1","","3","","","0B","","false",""
"any-apac.event.maas.partner-integration.v1","","3","","","0B","","false",""
"any-apac.event.maas.pending.commerce-iap.v1","","3","","","0B","","false",""
"any-apac.event.maas.pending.commerce.v1","","3","","","0B","","false",""
"any-apac.event.maas.pending.consent.v1","","3","","","0B","","false",""
"any-apac.event.maas.pending.partner-integration.v1","","60","","","0B","","false",""
"any-apac.event.maas.pending.preferences.v1","","3","","","0B","","false",""
"any-apac.event.maas.pending.silhouette.v1","","3","","","0B","","false",""
"any-apac.event.maas.pending.user-authentication.v1","","3","","","0B","","false",""
"any-apac.event.maas.pending.user-profile.v1","","3","","","0B","","false",""
"any-apac.event.maas.preferences.v1","","3","","","0B","","false",""
"any-apac.event.maas.retry.v1","","3","","","0B","","false",""
"any-apac.event.maas.silhouette.v1","","3","","","0B","","false",""
"any-apac.event.maas.user-account.v1","","3","","","0B","","false",""
"any-apac.event.maas.user-authentication.v1","","3","","","0B","","false",""
"any-apac.event.maas.user-profile.v1","","3","","","0B","","false",""
"any-apac.event.maas.viewer-my-list.v1","","3","","","0B","","false",""
"any-apac.event.maas.viewer-playback-marker.v1","","3","","","0B","","false",""
"any-apac.event.maas.viewer-watch-history.v1","","3","","","0B","","false",""
"any-apac.event.messaging-platform.highpri","","6","","","0B","","false",""
"any-apac.event.messaging-platform.lowpri","","6","19B/s","57B/s","41MB","","false",""
"any-apac.event.payment-method.v1","","20","134B/s","953B/s","8.73MB","","false",""
"any-apac.event.payment-provider-api-invocation.v1","","20","708B/s","1.48KB/s","818.6MB","","false",""
"any-apac.event.payment-provider-notification.v1","","20","165B/s","527B/s","666.87MB","","false",""
"any-apac.event.payment-transaction.v1","","20","243B/s","2.08KB/s","340MB","","false",""
"any-apac.event.payment-transaction.v2","","20","212B/s","1.11KB/s","332.11MB","","false",""
"any-apac.event.subscription-payment-failure.v1","","20","","0B/s","705.12KB","","false",""
"any-apac.internal.event.payment-method.sync.receipts.v2","","20","94B/s","283B/s","8.99MB","","false",""
"any-apac.internal.event.payment-method.sync.v2","","20","550B/s","1.61KB/s","58.22MB","","false",""
"any-apac.internal.event.payment-session.v1","","20","200B/s","599B/s","260.91MB","","false",""
"any-apac.internal.event.payment.api-invocation.spreedly.v0","","20","743B/s","2.29KB/s","1015.67MB","","false",""
