"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"__mongodb_heartbeats","","1","35B/s","","18.08MB","","false",""
"bolt.logs.dev.o11y.v1","","10","","","0B","","false",""
"clcc-0dx31q-app-logs","","1","","","0B","","false",""
"clcc-0dx3zp-app-logs","","1","","","0B","","false",""
"clcc-2j21zm-app-logs","","1","","","0B","","false",""
"clcc-nxvk3k-app-logs","","1","","","0B","","false",""
"delete-this-topic","","6","","","0B","","false",""
"dlq-lcc-0jo7m5","","1","","","0B","","false",""
"dlq-lcc-0m3k65","","1","","","0B","","false",""
"dlq-lcc-3nqr3j","","1","","","0B","","false",""
"dlq-lcc-5m1978","","1","","","0B","","false",""
"dlq-lcc-5n6zn2","","1","","","0B","","false",""
"dlq-lcc-6oq5wq","","1","","","0B","","false",""
"dlq-lcc-8mkd9m","","1","","","0B","","false",""
"dlq-lcc-9wdkg0","","1","","","0B","","false",""
"dlq-lcc-mkwym1","","1","","","0B","","false",""
"dlq-lcc-mx20p1","","1","","","0B","","false",""
"dlq-lcc-nrz966","","1","","","0B","","false",""
"dlq-lcc-yx638j","","1","","","0B","","false",""
"dsml.inbound-request.v1","","10","","","0B","","false",""
"entity.adPartner.v1","","20","","","0B","","false",""
"entity.aggregatedcontentmodel.v1","","6","","","0B","","false",""
"entity.billing-address.v1","","6","","","0B","","false",""
"entity.brand.v4","","20","","","0B","","false",""
"entity.campaign.internal.campaign-code-summary.v1","","6","","","0B","","false",""
"entity.campaign.internal.campaign.v1","","6","","","0B","","false",""
"entity.capabilities.user-capability.v2","","6","","","0B","","false",""
"entity.catalog-to-canonical.brand.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.edit.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.image.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.offering.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.person.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.program.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.season.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.series.v1","","6","","","0B","","false",""
"entity.catalog-to-canonical.taxonomy.v1","","6","","","0B","","false",""
"entity.cms.collection-metadata.v1","","21","","","0B","","false",""
"entity.cms.hopper.v1","","21","","","0B","","false",""
"entity.cms.route-path.v2","","21","","","0B","","false",""
"entity.commercial-offers.campaign.v1","","6","","","0B","","false",""
"entity.commercial-offers.price-plan.v1","","6","","","0B","","false",""
"entity.content-promotion.campaign-candidate.v1","","21","","","0B","","false",""
"entity.creative.v4","","20","","","0B","","false",""
"entity.deliverableImage.v4","","20","","","0B","","false",""
"entity.edit.v4","","20","","","0B","","false",""
