"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-apac.event.gauth.audit","","20","274B/s","274B/s","89.04MB","","false",""
"any-apac.event.gauth.partner","","20","31B/s","31B/s","7.29MB","","false",""
"any-apac.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-apac.event.gauth.user","","20","64B/s","193B/s","10.62MB","","false",""
"any-apac.event.lexicon.audit","","20","","","0B","","false",""
"any-apac.event.lexicon.audit.databricks","","20","","","0B","","false",""
"apse1.any-any.event.entitlements-metadata.edit-invalidation.apac.v1","","20","","181B/s","10.66MB","","false",""
"apse1.any-any.event.entitlements-metadata.tvod-invalidation.apac.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.automated.receipts.v1","","20","","","6.36MB","","false",""
"apse1.any-apac.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"apse1.any-apac.api.payments.automated.v1","","80","","","12.98MB","","false",""
"apse1.any-apac.api.payments.automated.v2","","80","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.v2","","20","","","0B","","false",""
"apse1.any-apac.entity.billing-address.v1","","20","","","0B","","false",""
"apse1.any-apac.entity.payment-method.v1","","20","","","460.46MB","","false",""
"apse1.any-apac.entity.payment-receipt.v1","","20","","","0B","","false",""
"apse1.any-apac.entity.payment-transaction.v1","","20","","","1.69GB","","false",""
"apse1.any-apac.entity.payment-transaction.v2","","20","","","1.55GB","","false",""
"apse1.any-apac.entity.spreedly-token-details.v1","","20","","","154.19MB","","false",""
"apse1.any-apac.event.campaign.internal.campaign-code.v1","","10","","","138.32KB","","false",""
"apse1.any-apac.event.gauth.audit.transformed","","20","","","1.46GB","","false",""
"apse1.any-apac.event.messaging-platform.highpri","","6","","","0B","","false",""
"apse1.any-apac.event.messaging-platform.lowpri","","6","","","40.41MB","","false",""
"apse1.any-apac.event.payment-method.v1","","20","","","8.53MB","","false",""
"apse1.any-apac.event.payment-provider-api-invocation.v1","","20","","","819.02MB","","false",""
"apse1.any-apac.event.payment-provider-notification.v1","","20","","","671.54MB","","false",""
"apse1.any-apac.event.payment-transaction.v1","","20","","","335.95MB","","false",""
"apse1.any-apac.event.payment-transaction.v2","","20","","","328.65MB","","false",""
"apse1.any-apac.event.subscription-payment-failure.v1","","20","","","699.94KB","","false",""
"apse1.any-apac.internal.event.payment-method.sync.receipts.v2","","20","","","8.6MB","","false",""
"apse1.any-apac.internal.event.payment-method.sync.v2","","20","","","55.64MB","","false",""
"apse1.any-apac.internal.event.payment-session.v1","","20","","","258.73MB","","false",""
"apse1.any-apac.internal.event.payment.api-invocation.spreedly.v0","","20","","","1017.08MB","","false",""
"apse1.any-apac.internal.event.payment.attributes.v1","","20","","","205.53MB","","false",""
"apse1.any-apac.internal.event.payment.notification.adyen.v0","","20","","","495.22MB","","false",""
"apse1.any-apac.internal.event.payment.notification.dlocal.v0","","20","","","0B","","false",""
"apse1.any-apac.internal.event.payment.notification.paypal.v0","","20","","","38.82MB","","false",""
"apse1.any-apac.internal.event.payment.notification.spreedly.v1","","20","","","0B","","false",""
"apse1.any-apac.internal.event.payment.pending-payment-update.v0","","20","","","33.27KB","","false",""
"apse1.any-apac.internal.event.payment.reference.mapping.v1","","20","","","628.64MB","","false",""
"apse1.any-apac.internal.event.tax-record.v1","","20","","","0B","","false",""
"apse1.any-apac.internal.event.transaction.sync.receipts.v2","","80","","","5.39MB","","false",""
"apse1.any-apac.internal.event.transaction.sync.receipts.v3","","80","","","0B","","false",""
"apse1.any-apac.internal.event.transaction.sync.v2","","80","","","34.52MB","","false",""
