"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","","","0B","","false",""
"aggregate.airingNotification.v4","","20","","","0B","","false",""
"aggregate.brand.v4","","30","","","0B","","false",""
"aggregate.brandNotification.v4","","20","","","0B","","false",""
"aggregate.edit.v4","","30","","","0B","","false",""
"aggregate.editNotification.v4","","20","","","0B","","false",""
"aggregate.offering.v4","","50","","","0B","","false",""
"aggregate.offeringNotification.v4","","20","","","0B","","false",""
"aggregate.program.v4","","30","","","0B","","false",""
"aggregate.programNotification.v4","","20","","","0B","","false",""
"aggregate.season.v4","","30","","","0B","","false",""
"aggregate.seasonNotification.v4","","20","","","0B","","false",""
"aggregate.series.v4","","30","","","0B","","false",""
"aggregate.seriesNotification.v4","","20","","","0B","","false",""
"ams.euc1.msc.test.v1","","3","","","0B","","false",""
"any-any.event.gauth.partner.name","","20","","","0B","","false",""
"any-emea.api.partner-fulfillment.actions.v1","","20","","0B/s","0B","","false",""
"any-emea.api.payments.automated.receipts.v1","","20","0B/s","0B/s","23MB","20","false",""
"any-emea.api.payments.automated.receipts.v2","","20","","","8.69KB","20","false",""
"any-emea.api.payments.automated.v1","","80","0B/s","0B/s","48.07MB","6","false",""
"any-emea.api.payments.automated.v2","","80","","","12.69KB","6","false",""
"any-emea.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"any-emea.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"any-emea.api.payments.modifications.v1","","20","","","0B","6","false",""
"any-emea.api.payments.modifications.v2","","20","","","0B","","false",""
"any-emea.api.subscriptions.partner-subscriptions.receipts.v1","","20","","","0B","","false",""
"any-emea.api.subscriptions.partner-subscriptions.v1","","20","","","0B","","false",""
"any-emea.entity.billing-address.v1","","20","","","0B","","false",""
"any-emea.entity.iap-consumable.v1","","3","","","0B","","false",""
"any-emea.entity.idp.v1","","20","","","526.06MB","","false",""
"any-emea.entity.legacy-id-mappings.legacy-sku-details.v1","","3","","","0B","","false",""
"any-emea.entity.legacy-id-mappings.price-plans.v1","","3","","","130B","","false",""
"any-emea.entity.legacy-id-mappings.products.v1","","3","","","2.49KB","","false",""
"any-emea.entity.legacy-id-mappings.subscription-counts.v1","","3","","","0B","","false",""
"any-emea.entity.legacy-id-mappings.subscriptions.v1","","3","","","0B","","false",""
"any-emea.entity.maas.migration-state.v1","","3","","","28.1MB","","false",""
"any-emea.entity.maas.observation.ad-hoc.v2","","3","","","0B","","false",""
"any-emea.entity.maas.observation.commerce-dtc.v1","","3","","","0B","","false",""
"any-emea.entity.maas.observation.commerce-dtc.v2","","3","","","0B","","false",""
"any-emea.entity.maas.observation.commerce-iap.exporter-result.v1","","3","","","0B","","false",""
"any-emea.entity.maas.observation.commerce-iap.paypro.v1","","3","","","1014B","","false",""
"any-emea.entity.maas.observation.commerce-iap.subscription.v1","","3","","","841B","","false",""
