"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-any.event.entitlements-metadata.edit-invalidation.apac.v1","","20","1.25KB/s","5.05KB/s","27.28MB","","false",""
"any-any.event.entitlements-metadata.tvod-invalidation.apac.v1","","20","","","0B","","false",""
"any-any.event.gauth.partner.name","","20","","","0B","","false",""
"any-apac.api.partner-fulfillment.actions.v1","","20","","0B/s","0B","","false",""
"any-apac.api.payments.automated.receipts.v1","","20","","","2.58MB","","false",""
"any-apac.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"any-apac.api.payments.automated.v1","","80","","","5.59MB","","false",""
"any-apac.api.payments.automated.v2","","80","","","0B","","false",""
"any-apac.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"any-apac.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"any-apac.api.payments.modifications.v1","","20","","","0B","","false",""
"any-apac.api.payments.modifications.v2","","20","","","0B","","false",""
"any-apac.api.subscriptions.partner-subscriptions.receipts.v1","","20","","","0B","","false",""
"any-apac.api.subscriptions.partner-subscriptions.v1","","20","","","0B","","false",""
"any-apac.entity.billing-address.v1","","20","","","0B","","false",""
"any-apac.entity.iap-consumable.v1","","3","","","0B","","false",""
"any-apac.entity.idp.v1","","20","","","1.43GB","","false",""
"any-apac.entity.legacy-id-mappings.legacy-sku-details.v1","","3","","","0B","","false",""
"any-apac.entity.legacy-id-mappings.price-plans.v1","","3","","","0B","","false",""
"any-apac.entity.legacy-id-mappings.products.v1","","3","","","88B","","false",""
"any-apac.entity.legacy-id-mappings.subscription-counts.v1","","3","","","0B","","false",""
"any-apac.entity.legacy-id-mappings.subscriptions.v1","","3","","","0B","","false",""
"any-apac.entity.maas.migration-state.v1","","3","","","8.56KB","","false",""
"any-apac.entity.maas.observation.ad-hoc.v2","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-dtc.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-dtc.v2","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.exporter-result.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.paypro.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.subscription.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.commerce-iap.v2","","3","","","0B","","false",""
"any-apac.entity.maas.observation.consent.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.consent.v2","","3","","","0B","","false",""
"any-apac.entity.maas.observation.partner-integration.v2","","3","","","0B","","false",""
"any-apac.entity.maas.observation.preferences.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.preferences.v2","","3","","","0B","","false",""
"any-apac.entity.maas.observation.silhouette.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.silhouette.v2","","3","","","0B","","false",""
"any-apac.entity.maas.observation.user-account.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.user-account.v2","","3","","","8.47KB","","false",""
"any-apac.entity.maas.observation.user-authentication.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.user-authentication.v2","","3","","","685B","","false",""
"any-apac.entity.maas.observation.user-profile.v1","","3","","","0B","","false",""
"any-apac.entity.maas.observation.user-profile.v2","","3","","","0B","","false",""
"any-apac.entity.payment-invoice.v1","","3","","","0B","","false",""
"any-apac.entity.payment-method.v1","","20","","","1.63GB","","false",""
"any-apac.entity.payment-receipt.v1","","20","","","5.32KB","","false",""
"any-apac.entity.payment-transaction.v1","","20","","","2.4GB","","false",""
"any-apac.entity.payment-transaction.v2","","20","","","859.72MB","","false",""
"any-apac.entity.spreedly-token-details.v1","","20","","","27.86MB","","false",""
