"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"__mongodb_heartbeats","","1","0B/s","","4.94MB","","false",""
"dlq-lcc-5qkkgz","","1","","","0B","","false",""
"dlq-lcc-qngx37","","1","","","0B","","false",""
"entity.billing-address.v1","","6","","","0B","","false",""
"entity.campaign.internal.campaign-code-summary.v1","","6","","","0B","","false",""
"entity.campaign.internal.campaign.v1","","6","","","0B","","false",""
"entity.cms.avatar.v1","","3","","","0B","","false",""
"entity.commercial-offers.campaign.v1","","6","","","0B","","false",""
"entity.commercial-offers.partner-sku.v1","","6","","","0B","","false",""
"entity.commercial-offers.price-plan.v1","","6","","","0B","","false",""
"entity.content-promotion.campaign-candidate.v1","","21","","","0B","","false",""
"entity.hopper.campaign-candidate.v1","","6","","","0B","","false",""
"entity.idp.user.v1","","6","","","0B","","false",""
"entity.lightning-bird.v1","","6","","","0B","","false",""
"entity.offer-catalog.partner-sku.v1","","6","","","0B","","false",""
"entity.payment-method.v1","","6","","","0B","","false",""
"entity.payment-transaction.v1","","6","","","0B","","false",""
"entity.personalized-offers.offer.v1","","6","","","0B","","false",""
"entity.price-plans.internal.price-plan.v1","","6","","","0B","","false",""
"entity.product-catalog.internal.product-transition.v1","","6","","","0B","","false",""
"entity.product-catalog.internal.product.v1","","6","","","0B","","false",""
"entity.product-catalog.product.v1","","6","","","0B","","false",""
"event.campaign.internal.campaign-code-revoked.v1","","10","","","0B","","false",""
"event.campaign.internal.campaign-code.v1","","10","","","0B","","false",""
"event.capabilities.user-ppv.v1","","20","","","0B","","false",""
"event.cms.experiment.v1","","3","","","0B","","false",""
"event.commercial-offers.campaign-user.v1","","10","","","0B","","false",""
"event.commercial-offers.product-pricing.v1","","10","","","0B","","false",""
"event.communication.v1","","21","","","0B","","false",""
"event.communication.v2","","21","","","0B","","false",""
"event.iap-subscription.v1","","6","","","0B","","false",""
"event.idp.v1","","6","","","0B","","false",""
"event.legal.v1","","20","","","0B","","false",""
"event.maas.commerce.v1","","10","","","0B","","false",""
"event.maas.consent.v1","","6","","","0B","","false",""
"event.maas.partner-integration-unregistered.v1","","6","","","0B","","false",""
"event.maas.partner-integration.v1","","10","","","0B","","false",""
"event.maas.user-account.v1","","10","","","0B","","false",""
"event.maas.user-authentication.v1","","10","","","0B","","false",""
"event.maas.user-profile.v1","","10","","","0B","","false",""
"event.payment-method.v1","","6","","","0B","","false",""
"event.payment-transaction.v1","","6","","","0B","","false",""
"event.personalized-offers.v1","","10","","","0B","","false",""
"event.product-catalog.v1","","6","","","0B","","false",""
"event.product-catalogue.v1","","6","","","0B","","false",""
"event.replay.users.v2","","3","","","0B","","false",""
"event.roku-instant-signup.v1","","6","","","0B","","false",""
"event.ssaiExternalTrackers.v1","","10","","","0B","","false",""
"event.ssaiInternalTrackers.v1","","10","","","0B","","false",""
"event.subscription-payment-failure.v1","","6","","","0B","","false",""
"event.users.auth-provider-added.v1","","6","","","0B","","false",""
"event.users.auth-provider-removed.v1","","6","","","0B","","false",""
"event.users.user-deleted.v1","","6","","","0B","","false",""
"event.users.v1","","21","","","0B","","false",""
"internal.content-processing.entity.mediaWorkflow.v1","","30","","0B/s","195.28MB","","false",""
"internal.event.payment-method.sync.receipts.v2","","6","","","0B","","false",""
"internal.event.payment-method.sync.v2","","6","","","0B","","false",""
"internal.event.payment.notification.iap.amazon.raw","","6","","","0B","","false",""
"internal.event.payment.notification.iap.apple.raw","","6","","","0B","","false",""
"internal.event.payment.notification.iap.google.raw","","6","","","0B","","false",""
"internal.event.payment.notification.iap.roku.v0","","6","","","0B","","false",""
"internal.event.payment.notification.iap.vizio.raw","","6","","","0B","","false",""
"internal.event.sap-exporter-dry-run.scheduled-task-processing.v1","","10","","","0B","","false",""
"internal.event.sap-exporter.scheduled-task-processing.v1","","6","","","0B","","false",""
"internal.event.tax-record.v1","","6","","","0B","","false",""
"internal.event.transaction.sync.receipts.v2","","6","","","0B","","false",""
"internal.event.transaction.sync.v2","","6","","","0B","","false",""
"mlinput.adCuePointsFeedback.v1","","10","","","0B","","false",""
"mlinput.closedCaptionsFeedback.v1","","10","","","0B","","false",""
"mlinput.demandSignal.v1","","20","","0B/s","3.43KB","","false",""
"mlinput.feedback.aiclips.v1","","20","","","0B","","false",""
"mlinput.feedback.vtt.v1","","10","","0B/s","374.45KB","","false",""
"mlinput.request.v1","","10","","","0B","","false",""
"mlinput.sample.v1","","10","","","1.11KB","","false",""
"mloutput.adCuePoints.v1","","10","","","0B","","false",""
"mloutput.aiclips.v1","","10","","","0B","","false",""
"mloutput.aistatus.v1","","10","","","806B","","false",""
"mloutput.closedCaptions.v1","","10","","","1.09GB","","false",""
"mloutput.taxonomy.v1","","10","","","0B","","false",""
"mloutput.vtt.v1","","10","","","1.63MB","","false",""
"msc.business-matrix.entity.brand.v1","","4","","4B/s","776.59KB","","false",""
"msc.business-matrix.entity.business-entity.v1","","4","","0B/s","1.68MB","","false",""
"msc.business-matrix.entity.exhibition-platform.v1","","4","","0B/s","3.7MB","","false",""
"msc.content-deal.entity.deal.v1","","10","","887B/s","517.13MB","","false",""
"msc.content-deal.entity.deal.v4","","10","","","0B","","false",""
"msc.content-deal.entity.offer.v1","","10","0B/s","54B/s","1.45GB","","false",""
"msc.content-planner.entity.plan.v1","","5","","","9.07MB","","false",""
"msc.deal-inbound.event.command.v1","","8","","","166.6KB","","false",""
"msc.deal-inbound.event.status.v1","","8","","","45.3KB","","false",""
"msc.delivery-manager.entity.delivery-promise.v1","","10","","","25.72MB","","false",""
"msc.dete.entity.edit.v4","","10","","","320.12MB","","false",""
"msc.dete.entity.manifestation.v2","","10","","0B/s","3.96GB","","false",""
"msc.duplo.entity.work-orders.v4","","10","0B/s","0B/s","1.3GB","","false",""
"msc.duplo.event.system-work-orders.v1","","4","","","10.98MB","","false",""
"msc.duplo.event.ui-work-orders.v1","","4","","","0B","","false",""
"msc.duplo.event.work-order-prediction-triggers.v1","","4","0B/s","0B/s","3.05GB","","false",""
"msc.duplo.event.work-order-vendor-recommendations.v1","","4","","","176.42KB","","false",""
"msc.global-usage.entity.offering.v1","","20","","","0B","","false",""
"msc.ods.atom-edits.v1","","1","","","450.15MB","","false",""
"msc.ods.atom-products.v1","","1","","","3.34GB","","false",""
"msc.ods.atom-releases.v1","","1","","","16.16GB","","false",""
"msc.ods.atom-talents.v1","","1","","","660.91MB","","false",""
"msc.ods.atom-titles.v1","","1","","","8.4GB","","false",""
"msc.ods.canonical-assets.v4","","1","42.71KB/s","85.43KB/s","18.38GB","","false",""
"msc.ods.canonical-brands.v1","","1","","","1.91MB","","false",""
"msc.ods.canonical-broadcast-schedules.v2","","1","","","18.87GB","","false",""
"msc.ods.canonical-businesses.v1","","1","","","2.1MB","","false",""
"msc.ods.canonical-clearances.v4","","1","","","4.84GB","","false",""
"msc.ods.canonical-content-offers.v1","","1","","","0B","","false",""
"msc.ods.canonical-deals.v1","","1","","","3.37GB","","false",""
"msc.ods.canonical-draft-assets.v4","","1","","","0B","","false",""
"msc.ods.canonical-edits.v4","","1","954B/s","1.86KB/s","10.13GB","","false",""
"msc.ods.canonical-exhibition-platforms.v1","","1","","","5.66MB","","false",""
"msc.ods.canonical-manifestations-inactive.v2","","1","","","2.26GB","","false",""
"msc.ods.canonical-manifestations.v2","","1","154B/s","309B/s","40.67GB","","false",""
"msc.ods.canonical-offerings.v4","","1","","","5.94GB","","false",""
"msc.ods.canonical-persons.v4","","1","","","205.68MB","","false",""
"msc.ods.canonical-plans.v1","","1","","","13.97MB","","false",""
"msc.ods.canonical-rights-profiles.v4","","1","","","1.58MB","","false",""
"msc.ods.canonical-taxonomies.v4","","1","","","75.53MB","","false",""
"msc.ods.dictionary.v1","","1","","","679.32KB","","false",""
"msc.ods.offerings.v1","","2","","","0B","","false",""
"msc.ods.organizations.v4","","1","","","43MB","","false",""
"msc.ods.vendors.v2","","1","","","38.49MB","","false",""
"msc.ods.work-orders.v4","","1","0B/s","0B/s","4.54GB","","false",""
"msc.program-inventory.entity.draft-program.v4","","20","","","0B","","false",""
"msc.program-inventory.entity.draft-season.v4","","20","","","0B","","false",""
"msc.program-inventory.entity.draft-series.v4","","20","","0B/s","0B","","false",""
"msc.program-inventory.entity.edit.v4","","20","411B/s","1.61KB/s","2.89GB","","false",""
"msc.program-inventory.entity.organization.v4","","20","","","19.02MB","","false",""
"msc.program-inventory.entity.person.v4","","20","","","10.8MB","","false",""
"msc.program-inventory.entity.program.v4","","20","2.59KB/s","25.23KB/s","3.76GB","","false",""
"msc.program-inventory.entity.promoprogramgroup.v4","","20","","0B/s","75.42MB","","false",""
"msc.program-inventory.entity.season.v4","","20","1.54KB/s","8.97KB/s","368.23MB","","false",""
"msc.program-inventory.entity.series.v4","","20","3.38KB/s","24.52KB/s","382.66MB","","false",""
"msc.program-inventory.entity.taxonomy.v4","","20","","0B/s","400.08KB","","false",""
"msc.spotlight.obsrStatus-ofo.v1","","1","","","0B","","false",""
"msc.tangible-inventory.entity.mezzanine-manifestation.v4","","20","0B/s","0B/s","10.59GB","","false",""
"msc.title-governance-inbound.command.v1","","20","","","0B","","false",""
"msc.title-governance-outbound.command.status.v1","","20","","","0B","","false",""
"msc.vendor-manager.entity.vendor.v1","","4","","0B/s","5.29MB","","false",""
"msc.vendor-manager.entity.vendor.v2","","10","","","25.27MB","","false",""
"rights-cass.pi-network-dlt","","10","","","0B","","false",""
"rights-cass.pi-program-dlt","","20","","","0B","","false",""
"rights-cass.pi-season-dlt","","10","","","0B","","false",""
"rights-cass.pi-series-dlt","","10","","","0B","","false",""
"use1.any-amer.api.payments.automated.receipts.v1","","20","","","0B","","false",""
"use1.any-amer.api.payments.automated.v1","","80","","","0B","","false",""
"use1.any-amer.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"use1.any-amer.api.payments.modifications.v1","","20","","","0B","","false",""
"use1.any-amer.entity.billing-address.v1","","20","","","0B","","false",""
"use1.any-amer.entity.extra-member.access.v1","","3","","","56.53KB","","false",""
"use1.any-amer.entity.extra-member.slot.v1","","3","","","55.13KB","","false",""
"use1.any-amer.entity.household.v1","","20","","","53.6KB","","false",""
"use1.any-amer.entity.payment-method.v1","","20","","","0B","","false",""
"use1.any-amer.entity.payment-transaction.v1","","20","","","0B","","false",""
"use1.any-amer.event.extra-member.access.v1","","3","","","95.07KB","","false",""
"use1.any-amer.event.extra-member.slot.v1","","3","","","98.22KB","","false",""
"use1.any-amer.event.household.v1","","20","","","95.66KB","","false",""
"use1.any-amer.event.payment-method.v1","","20","","","0B","","false",""
"use1.any-amer.event.payment-transaction.v1","","20","","","0B","","false",""
"use1.any-amer.flash.mitigation.message.v1","","6","","20B/s","5.85MB","","false",""
"use1.any-amer.flash.session.state.change.v1","","10","","918.02KB/s","119.82GB","","false",""
"use1.any-amer.internal.event.commerce-exporter.processed.v1","","20","","","0B","","false",""
"use1.any-amer.internal.event.commerce-exporter.unprocessed.v1","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment-method.sync.receipts.v2","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment-method.sync.v2","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment-session.v1","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.attributes.v1","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.notification.adyen.v0","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.notification.paypal.v0","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.notification.spreedly.v0","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.notification.spreedly.v1","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.notification.stripe.v0","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.pending-payment-update.v0","","20","","","0B","","false",""
"use1.any-amer.internal.event.payment.reference.mapping.v1","","20","","","0B","","false",""
"use1.any-amer.internal.event.tax-record.v1","","20","","","0B","","false",""
"use1.any-amer.internal.event.transaction.sync.receipts.v2","","80","","","0B","","false",""
"use1.any-amer.internal.event.transaction.sync.v2","","80","","","0B","","false",""
"use1.any-any.entity.gauth.partner.name","","20","","11.12KB/s","2.37MB","","false",""
"use1.any-any.event.diana.metric.v1","","10","","2.9MB/s","496.57GB","","false",""
"use1.any-any.event.entitlements-metadata.edit-invalidation.v1","","20","","884B/s","9.12MB","","false",""
"use1.any-any.event.entitlements-metadata.region-shape-invalidation.v1","","20","","","0B","","false",""
"use1.any-any.event.entitlements-metadata.tvod-invalidation.v1","","20","","","0B","","false",""
"use1.any-any.event.flash.metric.v1","","6","","32B/s","6.6MB","","false",""
"use1.any-apac.event.iap-consumable.amazon-notification.v1","","3","","","0B","","false",""
"use1.any-apac.event.iap-consumable.apple-notification.v1","","3","","","0B","","false",""
"use1.any-apac.event.iap-consumable.google-notification.v1","","3","","","0B","","false",""
"use1.any-apac.event.iap-consumable.roku-notification.v1","","3","","","0B","","false",""
"use1.any-apac.event.iap-consumable.samsung-notification.v1","","3","","","0B","","false",""
"use1.any-emea.event.iap-consumable.amazon-notification.v1","","3","","","0B","","false",""
"use1.any-emea.event.iap-consumable.apple-notification.v1","","3","","","0B","","false",""
"use1.any-emea.event.iap-consumable.google-notification.v1","","3","","","0B","","false",""
"use1.any-emea.event.iap-consumable.roku-notification.v1","","3","","","0B","","false",""
"use1.any-emea.event.iap-consumable.samsung-notification.v1","","3","","","0B","","false",""
"use1.any-emea.internal.event.payment.notification.spreedly.v0","","20","","","0B","","false",""
"use1.any-latam.api.payments.automated.receipts.v1","","20","","693B/s","374.73MB","","false",""
"use1.any-latam.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"use1.any-latam.api.payments.automated.v1","","80","","1.33KB/s","755.36MB","","false",""
"use1.any-latam.api.payments.automated.v2","","80","","","0B","","false",""
"use1.any-latam.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"use1.any-latam.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"use1.any-latam.api.payments.modifications.v1","","20","","","0B","","false",""
"use1.any-latam.api.payments.modifications.v2","","20","","","0B","","false",""
"use1.any-latam.entity.billing-address.v1","","20","","","0B","","false",""
"use1.any-latam.entity.payment-method.v1","","20","","2.36KB/s","19.91GB","","false",""
"use1.any-latam.entity.payment-receipt.v1","","20","","","0B","","false",""
"use1.any-latam.entity.payment-transaction.v1","","20","","5.77KB/s","151.4GB","","false",""
"use1.any-latam.entity.payment-transaction.v2","","20","","6.71KB/s","30.33GB","","false",""
"use1.any-latam.entity.spreedly-token-details.v1","","20","","1.49KB/s","8.1GB","","false",""
"use1.any-latam.event.gauth.audit.transformed","","20","","280.33KB/s","408.5GB","","false",""
"use1.any-latam.event.lexicon.audit.databricks","","20","","354.56KB/s","450.7GB","","false",""
"use1.any-latam.event.messaging-platform.highpri","","6","","","0B","","false",""
"use1.any-latam.event.messaging-platform.lowpri","","6","","662B/s","359.17MB","","false",""
"use1.any-latam.event.payment-method.v1","","20","","495B/s","20.82MB","","false",""
"use1.any-latam.event.payment-provider-api-invocation.v1","","20","","19.61KB/s","10.64GB","","false",""
"use1.any-latam.event.payment-provider-notification.v1","","20","","7.1KB/s","9.53GB","","false",""
"use1.any-latam.event.payment-transaction.v1","","20","","6.29KB/s","2.45GB","","false",""
"use1.any-latam.event.payment-transaction.v2","","20","","6.17KB/s","2.42GB","","false",""
"use1.any-latam.event.subscription-payment-failure.v1","","20","","326B/s","47.69MB","","false",""
"use1.any-latam.internal.event.payment-method.sync.receipts.v2","","80","","376B/s","15.22MB","","false",""
"use1.any-latam.internal.event.payment-method.sync.v2","","80","","5.68KB/s","262.13MB","","false",""
"use1.any-latam.internal.event.payment-session.v1","","20","","5.73KB/s","3.52GB","","false",""
"use1.any-latam.internal.event.payment.api-invocation.spreedly.v0","","20","","20.91KB/s","12.56GB","","false",""
"use1.any-latam.internal.event.payment.attributes.v1","","20","","4.07KB/s","1.91GB","","false",""
"use1.any-latam.internal.event.payment.notification.adyen.v0","","20","","","0B","","false",""
"use1.any-latam.internal.event.payment.notification.dlocal.v0","","20","","8KB/s","3.75GB","","false",""
"use1.any-latam.internal.event.payment.notification.ebanx.v0","","20","","","0B","","false",""
"use1.any-latam.internal.event.payment.notification.paypal.v0","","20","","","0B","","false",""
"use1.any-latam.internal.event.payment.notification.spreedly.v0","","20","","","0B","","false",""
"use1.any-latam.internal.event.payment.notification.spreedly.v1","","20","","","0B","","false",""
"use1.any-latam.internal.event.payment.notification.stripe.v0","","20","","0B/s","649.72MB","","false",""
"use1.any-latam.internal.event.payment.pending-payment-update.v0","","20","","","4.31KB","","false",""
"use1.any-latam.internal.event.payment.reference.mapping.v1","","20","","8.29KB/s","4.13GB","","false",""
"use1.any-latam.internal.event.tax-record.v1","","20","","","0B","","false",""
"use1.any-latam.internal.event.transaction.sync.receipts.v2","","80","","2.79KB/s","120.06MB","","false",""
"use1.any-latam.internal.event.transaction.sync.receipts.v3","","80","","","0B","","false",""
"use1.any-latam.internal.event.transaction.sync.v2","","80","","7.59KB/s","400.79MB","","false",""
"use1.any-latam.internal.event.transaction.sync.v3","","80","","","0B","","false",""
"use1.api.iap-subscription.actions.v1","","20","","","0B","","false",""
"use1.api.payments.automated.receipts.v1","","20","","8.65KB/s","500.97MB","","false",""
"use1.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"use1.api.payments.automated.v1","","80","","12.42KB/s","1.04GB","","false",""
"use1.api.payments.automated.v2","","80","","","0B","","false",""
"use1.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"use1.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"use1.api.payments.modifications.v1","","20","","","0B","","false",""
"use1.api.payments.modifications.v2","","20","","","0B","","false",""
"use1.beam-amer.entity.iap-subscription.offer-eligibility.v1","","20","","143B/s","165.1MB","","false",""
"use1.beam-amer.event.transactional-campaigns.v1","","6","","","0B","","false",""
"use1.beam-apac.event.roku-instant-signup.v1","","6","","","0B","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.amazon.raw","","20","","","56.6KB","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.apple.raw","","20","","","109.98MB","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.google.raw","","20","","","7.97MB","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.roku.v0","","20","","","10.88KB","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.samsung.raw","","20","","","919.94KB","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.vizio.raw","","20","","","0B","","false",""
"use1.beam-emea.event.roku-instant-signup.v1","","6","","","0B","","false",""
"use1.beam-emea.internal.event.payment.notification.iap.amazon.raw","","20","","","191.49KB","","false",""
"use1.beam-emea.internal.event.payment.notification.iap.apple.raw","","20","","","462.98MB","","false",""
"use1.beam-emea.internal.event.payment.notification.iap.google.raw","","20","","","26.07MB","","false",""
"use1.beam-emea.internal.event.payment.notification.iap.roku.v0","","20","","","1.98KB","","false",""
"use1.beam-emea.internal.event.payment.notification.iap.samsung.raw","","20","","","5.16MB","","false",""
"use1.beam-emea.internal.event.payment.notification.iap.vizio.raw","","20","","","0B","","false",""
"use1.beam-latam.api.iap-subscription.actions.v1","","20","","","11.6KB","","false",""
"use1.beam-latam.entity.iap-subscription.offer-eligibility.v1","","20","","210B/s","105.41MB","","false",""
"use1.beam-latam.entity.legal.v1","","10","","2.71KB/s","8.34GB","","false",""
"use1.beam-latam.entity.personalized-offers.offer.v1","","6","","50B/s","726.66MB","","false",""
"use1.beam-latam.entity.subscription.non-paying-period.v1","","20","","","527.14MB","","false",""
"use1.beam-latam.entity.subscription.subscription.v1","","20","","","30.76GB","","false",""
"use1.beam-latam.entity.subscription.subscription.v2","","20","","10.14KB/s","43.58GB","","false",""
"use1.beam-latam.event.commercial-offers.campaign-user.v1","","10","","","192.41KB","","false",""
"use1.beam-latam.event.global.payments.audit.v1","","50","","0B/s","1.18MB","","false",""
"use1.beam-latam.event.iap-subscription.v1","","20","","2.27KB/s","113.22MB","","false",""
"use1.beam-latam.event.legal.v1","","10","","4KB/s","14.07GB","","false",""
"use1.beam-latam.event.personalized-offers.v1","","10","","67B/s","23.56MB","","false",""
"use1.beam-latam.event.roku-instant-signup.v1","","6","","","0B","","false",""
"use1.beam-latam.event.subscription.user-subscription.v1","","20","","","29.68KB","","false",""
"use1.beam-latam.event.subscription.user-subscription.v2","","20","","5.86KB/s","3.48GB","","false",""
"use1.beam-latam.internal.event.payment.notification.iap.amazon.raw","","20","","0B/s","364.67KB","","false",""
"use1.beam-latam.internal.event.payment.notification.iap.apple.raw","","20","","8.13KB/s","603.45MB","","false",""
"use1.beam-latam.internal.event.payment.notification.iap.google.raw","","20","","1.77KB/s","71.19MB","","false",""
"use1.beam-latam.internal.event.payment.notification.iap.roku.v0","","20","","32B/s","6.41MB","","false",""
"use1.beam-latam.internal.event.payment.notification.iap.samsung.raw","","20","","38B/s","6.95MB","","false",""
"use1.beam-latam.internal.event.payment.notification.iap.vizio.raw","","20","","","0B","","false",""
"use1.beam-latam.internal.legal.localization.v1","","10","","","0B","","false",""
"use1.beam-latam.kinesis.to.kafka.payment-method.v1","","20","","","0B","","false",""
"use1.beam-latam.kinesis.to.kafka.transaction.v1","","20","","","0B","","false",""
"use1.br-amer.entity.legal.v1","","10","","1.31KB/s","4.46GB","","false",""
"use1.br-amer.event.legal.v1","","10","","5.71KB/s","25.35GB","","false",""
"use1.br-amer.internal.legal.localization.v1","","10","","","0B","","false",""
"use1.dplus-amer.api.iap-subscription.actions.v1","","20","","","0B","","false",""
"use1.dplus-amer.entity.capabilities.capability-definition.v1","","20","","","0B","","false",""
"use1.dplus-amer.entity.capabilities.capability-definition.v2","","20","","","0B","","false",""
"use1.dplus-amer.entity.capabilities.content.segment.v1","","10","","","0B","","false",""
"use1.dplus-amer.entity.capabilities.package.v1","","10","","","0B","","false",""
"use1.dplus-amer.entity.commercial-offers.campaign.v1","","6","","","0B","","false",""
"use1.dplus-amer.entity.commercial-offers.price-plan.v1","","6","","","0B","","false",""
"use1.dplus-amer.entity.iap-subscription.offer-eligibility.v1","","20","","90B/s","100.44MB","","false",""
"use1.dplus-amer.entity.legal.v1","","10","","850B/s","2.87GB","","false",""
"use1.dplus-amer.entity.personalized-offers.offer.v1","","6","","26B/s","17.63MB","","false",""
"use1.dplus-amer.entity.subscription.non-paying-period.v1","","20","","46B/s","26.11MB","","false",""
"use1.dplus-amer.entity.subscription.subscription.v1","","20","","","29.09GB","","false",""
"use1.dplus-amer.entity.subscription.subscription.v2","","20","","2.41KB/s","18.95GB","","false",""
