"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","","150B/s","1004.03MB","","false",""
"aggregate.airing.v5","","20","","150B/s","627.04MB","","false",""
"aggregate.airingNotification.v4","","20","","474B/s","1.16GB","","false",""
"aggregate.airingNotification.v5","","20","","","670.53MB","","false",""
"aggregate.article.v4","","20","","150B/s","139.39MB","","false",""
"aggregate.articleNotification.v4","","20","","","146.82MB","","false",""
"aggregate.brand.v4","","30","","236B/s","110.7KB","","false",""
"aggregate.brandNotification.v4","","20","","","57.3KB","","false",""
"aggregate.edit.v4","","30","226B/s","465B/s","2.47GB","","false",""
"aggregate.editNotification.v4","","20","132B/s","","2.16GB","","false",""
"aggregate.offering.v4","","50","20.09KB/s","20.51KB/s","3.66GB","","false",""
"aggregate.offering.v5","","50","9.75KB/s","10.28KB/s","1.08GB","","false",""
"aggregate.offeringNotification.v4","","20","11.59KB/s","5.89MB/s","3.37GB","","false",""
"aggregate.offeringNotification.v5","","20","7.81KB/s","","1.25GB","","false",""
"aggregate.program.v4","","30","287B/s","528B/s","1.32GB","","false",""
"aggregate.programNotification.v4","","20","333B/s","","1.23GB","","false",""
"aggregate.season.v4","","30","130B/s","340B/s","18.75MB","","false",""
"aggregate.seasonNotification.v4","","20","40B/s","","18.62MB","","false",""
"aggregate.series.v4","","30","7B/s","218B/s","20.63MB","","false",""
"aggregate.seriesNotification.v4","","20","23B/s","","18.66MB","","false",""
"aggregate.socialChannel.v4","","20","","152B/s","41.44MB","","false",""
"aggregate.socialChannelNotification.v4","","20","","","45.71MB","","false",""
"aggregate.socialMedia.v4","","20","29B/s","181B/s","500.01MB","","false",""
"aggregate.socialMediaNotification.v4","","20","20B/s","","467.31MB","","false",""
"any-amer.api.partner-fulfillment.actions.v1","","20","","0B/s","2.42KB","","false",""
"any-amer.api.payments.automated.receipts.v1","","20","","","0B","","false",""
"any-amer.api.payments.automated.v1","","80","","","0B","","false",""
"any-amer.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"any-amer.api.payments.modifications.v1","","20","","","0B","","false",""
"any-amer.entity.billing-address.v1","","20","","","0B","","false",""
"any-amer.entity.extra-member.access.v1","","3","","","227.99KB","","false",""
"any-amer.entity.extra-member.slot.v1","","3","","","259.92KB","","false",""
"any-amer.entity.household.v1","","20","","","45.5KB","","false",""
"any-amer.entity.iap-consumable.v1","","3","","","0B","","false",""
"any-amer.entity.idp.v1","","20","","","9.27GB","","false",""
"any-amer.entity.maas.migration-state.v1","","3","","","140.46GB","","false",""
"any-amer.entity.maas.observation.ad-hoc.v2","","3","","","157.31GB","","false",""
"any-amer.entity.maas.observation.commerce-dtc.v1","","3","","","9.02KB","","false",""
"any-amer.entity.maas.observation.commerce-dtc.v2","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.exporter-result.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.paypro.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.subscription.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.v2","","3","","","7.63KB","","false",""
"any-amer.entity.maas.observation.consent.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.consent.v2","","3","","","46.72KB","","false",""
"any-amer.entity.maas.observation.partner-integration.v2","","3","","","0B","","false",""
"any-amer.entity.maas.observation.preferences.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.preferences.v2","","3","","","387.17KB","","false",""
"any-amer.entity.maas.observation.silhouette.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.silhouette.v2","","3","","","26.67KB","","false",""
"any-amer.entity.maas.observation.user-account.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-account.v2","","3","","","88.68KB","","false",""
"any-amer.entity.maas.observation.user-authentication.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-authentication.v2","","3","","","14.8KB","","false",""
"any-amer.entity.maas.observation.user-profile.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-profile.v2","","3","","","0B","","false",""
"any-amer.entity.partner-fulfillment.partner-fulfillment.v1","","6","","","777.79KB","","false",""
"any-amer.entity.payment-method.v1","","20","","","0B","","false",""
"any-amer.entity.payment-transaction.v1","","20","","","0B","","false",""
"any-amer.event.extra-member.access.v1","","3","","","16.34KB","","false",""
"any-amer.event.extra-member.slot.v1","","3","","","22.78KB","","false",""
"any-amer.event.gauth.userinfo","","20","0B/s","0B/s","10.37MB","","false",""
"any-amer.event.household.v1","","20","","","286.17KB","","false",""
"any-amer.event.iap-consumable-audit.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.amazon-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.apple-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.google-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.roku-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.samsung-notification.v1","","3","","","0B","","false",""
"any-amer.event.iap-consumable.v1","","3","","","0B","","false",""
"any-amer.event.idp.v1","","20","","0B/s","75.24MB","","false",""
"any-amer.event.maas.ad-hoc.v1","","3","","","0B","","false",""
"any-amer.event.maas.commerce-iap.v1","","3","","","0B","","false",""
"any-amer.event.maas.commerce.v1","","3","","","0B","","false",""
"any-amer.event.maas.consent.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.ad-hoc.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.commerce-iap.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.commerce.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.consent.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.partner-integration-unregistered.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.partner-integration.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.preferences.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.silhouette.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.user-account.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.user-authentication.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.user-profile.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.viewer-my-list.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.viewer-playback-marker.v1","","3","","","0B","","false",""
"any-amer.event.maas.error.viewer-watch-history.v1","","3","","","0B","","false",""
"any-amer.event.maas.export.v1","","3","","","0B","","false",""
"any-amer.event.maas.migration-state.v1","","3","","","0B","","false",""
"any-amer.event.maas.observation.partner-integration.v1","","3","","","0B","","false",""
"any-amer.event.maas.partner-integration-unregistered.v1","","3","","","0B","","false",""
"any-amer.event.maas.partner-integration.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.commerce-iap.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.commerce.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.consent.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.partner-integration.v1","","60","","","0B","","false",""
"any-amer.event.maas.pending.preferences.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.silhouette.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.user-authentication.v1","","3","","","0B","","false",""
"any-amer.event.maas.pending.user-profile.v1","","3","","","0B","","false",""
"any-amer.event.maas.preferences.v1","","3","","","0B","","false",""
"any-amer.event.maas.retry.v1","","3","","","0B","","false",""
"any-amer.event.maas.silhouette.v1","","3","","","0B","","false",""
"any-amer.event.maas.user-account.v1","","3","","","0B","","false",""
"any-amer.event.maas.user-authentication.v1","","3","","","0B","","false",""
"any-amer.event.maas.user-profile.v1","","3","","","0B","","false",""
"any-amer.event.maas.viewer-my-list.v1","","3","","","0B","","false",""
"any-amer.event.maas.viewer-playback-marker.v1","","3","","","0B","","false",""
"any-amer.event.maas.viewer-watch-history.v1","","3","","","0B","","false",""
"any-amer.event.payment-method.v1","","20","","","0B","","false",""
"any-amer.event.payment-transaction.v1","","20","","","0B","","false",""
"any-amer.flash.mitigation.message.v1","","6","","","15.81KB","","false",""
"any-amer.flash.session.state.change.v1","","6","0B/s","0B/s","39.11MB","","false",""
"any-amer.internal.event.commerce-exporter.processed.v1","","20","","","0B","","false",""
