"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","","","0B","","false",""
"aggregate.airingNotification.v4","","20","","","0B","","false",""
"aggregate.brand.v4","","30","","","0B","","false",""
"aggregate.brandNotification.v4","","20","","","0B","","false",""
"aggregate.edit.v4","","30","","","0B","","false",""
"aggregate.editNotification.v4","","20","","","0B","","false",""
"aggregate.offering.v4","","50","","","0B","","false",""
"aggregate.offeringNotification.v4","","20","","","0B","","false",""
"aggregate.program.v4","","30","","","0B","","false",""
"aggregate.programNotification.v4","","20","","","0B","","false",""
"aggregate.season.v4","","30","","","0B","","false",""
"aggregate.seasonNotification.v4","","20","","","0B","","false",""
"aggregate.series.v4","","30","","","0B","","false",""
"aggregate.seriesNotification.v4","","20","","","0B","","false",""
"ams-poc-2","","6","","","0B","","false",""
"any-any.dcp-databricks.isdk.growth-marketing.json.v1","","40","0B/s","0B/s","21.5MB","","false",""
"any-any.dcp-databricks.isdk.json.v1","","40","220B/s","207B/s","33.12MB","","false",""
"any-any.dcp-databricks.isdk.json.v1-temp-load-test-da-43917","","40","","","0B","","false",""
"any-latam.event.gauth.audit","","20","","0B/s","8.92MB","","false",""
"any-latam.event.gauth.partner","","20","","0B/s","773.28KB","","false",""
"any-latam.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-latam.event.gauth.user","","20","","0B/s","252.74KB","","false",""
"any-latam.event.lexicon.audit","","20","","0B/s","28.01KB","","false",""
"beam-amer.heartbeat-signal","","20","","","0B","","false",""
"beam-amer.morpheus-notification","","20","","","0B","","false",""
"beam-any.dcp-databricks.essdk.json.v1","","80","","","0B","","false",""
"beam-latam.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-latam.entity.lightning-bird.v1","","6","","","0B","","false",""
"beam-latam.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
"beam-latam.event.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-latam.event.capabilities.user-ppv.receipt.v1","","40","","","0B","","false",""
"beam-latam.event.capabilities.user-ppv.v1","","40","","","0B","","false",""
"beam-latam.event.lightning-bird.v1","","6","8B/s","8B/s","994.04KB","","false",""
"br-amer.entity.livelike.v1","","20","","","0B","","false",""
"br-amer.entity.preferences.v1","","20","","","0B","","false",""
"br-amer.entity.silhouette.v1","","20","","","0B","","false",""
"br-amer.entity.silhouette.v2","","20","","","0B","","false",""
"br-amer.event.motif.identity.moderation-request.v1","","20","","","0B","","false",""
"br-amer.event.motif.identity.moderation-response.v1","","20","","","0B","","false",""
"br-amer.event.motif.media.media-state.v1","","20","","","0B","","false",""
"br-amer.event.motif.social.moderation-request.v1","","20","","","0B","","false",""
"br-amer.event.motif.social.moderation-response.v1","","20","","","0B","","false",""
"br-amer.event.silhouette.v1","","20","","","0B","","false",""
"br-amer.event.silhouette.v2","","20","","","0B","","false",""
