"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"any-apac.event.gauth.audit","","20","","0B/s","4.05MB","","false",""
"any-apac.event.gauth.partner","","20","","0B/s","462.01KB","","false",""
"any-apac.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-apac.event.gauth.user","","20","","0B/s","316.99KB","","false",""
"any-apac.event.lexicon.audit","","20","","","0B","","false",""
"any-apac.event.lexicon.audit.databricks","","20","","","0B","","false",""
"apse1.any-any.event.entitlements-metadata.edit-invalidation.apac.v1","","20","","3KB/s","19.48MB","","false",""
"apse1.any-any.event.entitlements-metadata.tvod-invalidation.apac.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.automated.receipts.v1","","20","","","2.58MB","","false",""
"apse1.any-apac.api.payments.automated.receipts.v2","","20","","","0B","","false",""
"apse1.any-apac.api.payments.automated.v1","","80","","","5.59MB","","false",""
"apse1.any-apac.api.payments.automated.v2","","80","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.receipts.v2","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.v1","","20","","","0B","","false",""
"apse1.any-apac.api.payments.modifications.v2","","20","","","0B","","false",""
"apse1.any-apac.entity.billing-address.v1","","20","","","0B","","false",""
"apse1.any-apac.entity.payment-method.v1","","20","","","1.47GB","","false",""
"apse1.any-apac.entity.payment-receipt.v1","","20","","","5.32KB","","false",""
"apse1.any-apac.entity.payment-transaction.v1","","20","","","2.24GB","","false",""
"apse1.any-apac.entity.payment-transaction.v2","","20","","","829.75MB","","false",""
"apse1.any-apac.entity.spreedly-token-details.v1","","20","","","28.36MB","","false",""
"apse1.any-apac.event.campaign.internal.campaign-code.v1","","10","","","7.3KB","","false",""
"apse1.any-apac.event.gauth.audit.transformed","","20","","","28.91MB","","false",""
"apse1.any-apac.event.messaging-platform.highpri","","6","","","0B","","false",""
"apse1.any-apac.event.messaging-platform.lowpri","","6","","","1.72MB","","false",""
"apse1.any-apac.event.payment-method.v1","","20","","","319.97KB","","false",""
"apse1.any-apac.event.payment-provider-api-invocation.v1","","20","","","109.48MB","","false",""
"apse1.any-apac.event.payment-provider-notification.v1","","20","","","51.79MB","","false",""
"apse1.any-apac.event.payment-transaction.v1","","20","","","47.13MB","","false",""
"apse1.any-apac.event.payment-transaction.v2","","20","","","46.15MB","","false",""
"apse1.any-apac.event.subscription-payment-failure.v1","","20","","","0B","","false",""
"apse1.any-apac.internal.event.payment-method.sync.receipts.v2","","20","","","840.86KB","","false",""
"apse1.any-apac.internal.event.payment-method.sync.v2","","20","","","3.41MB","","false",""
"apse1.any-apac.internal.event.payment-session.v1","","20","","","19.75MB","","false",""
"apse1.any-apac.internal.event.payment.api-invocation.spreedly.v0","","20","","","124.84MB","","false",""
"apse1.any-apac.internal.event.payment.attributes.v1","","20","","","17.42MB","","false",""
"apse1.any-apac.internal.event.payment.notification.adyen.v0","","20","","","81.21MB","","false",""
"apse1.any-apac.internal.event.payment.notification.dlocal.v0","","20","","","0B","","false",""
"apse1.any-apac.internal.event.payment.notification.paypal.v0","","20","","","69.24KB","","false",""
"apse1.any-apac.internal.event.payment.notification.spreedly.v1","","20","","","0B","","false",""
"apse1.any-apac.internal.event.payment.pending-payment-update.v0","","20","","","1.66KB","","false",""
"apse1.any-apac.internal.event.payment.reference.mapping.v1","","20","","","49.44MB","","false",""
"apse1.any-apac.internal.event.tax-record.v1","","20","","","0B","","false",""
"apse1.any-apac.internal.event.transaction.sync.receipts.v2","","80","","","640.29KB","","false",""
"apse1.any-apac.internal.event.transaction.sync.receipts.v3","","80","","","0B","","false",""
"apse1.any-apac.internal.event.transaction.sync.v2","","80","","","2.88MB","","false",""
"apse1.any-apac.internal.event.transaction.sync.v3","","80","","","0B","","false",""
"apse1.beam-apac.api.iap-subscription.action-outcome.v1","","20","","","0B","","false",""
"apse1.beam-apac.api.iap-subscription.actions.v1","","20","","","0B","","false",""
"apse1.beam-apac.entity.iap-subscription.offer-eligibility.v1","","20","","","42.21MB","","false",""
"apse1.beam-apac.entity.legal.v1","","10","","","7.72GB","","false",""
"apse1.beam-apac.entity.personalized-offers.offer.v1","","6","","","357.89KB","","false",""
"apse1.beam-apac.entity.subscription.non-paying-period.v1","","20","","","68.35KB","","false",""
"apse1.beam-apac.entity.subscription.subscription.v1","","20","","","1.43GB","","false",""
"apse1.beam-apac.entity.subscription.subscription.v2","","20","","","1.8GB","","false",""
"apse1.beam-apac.event.commercial-offers.campaign-user.v1","","10","","","10.97KB","","false",""
"apse1.beam-apac.event.global.payments.audit.v1","","50","","","0B","","false",""
"apse1.beam-apac.event.iap-subscription.v1","","20","","","47.17KB","","false",""
"apse1.beam-apac.event.legal.v1","","10","","","25.45GB","","false",""
"apse1.beam-apac.event.personalized-offers.v1","","10","","","25.76KB","","false",""
"apse1.beam-apac.event.subscription.user-subscription.v1","","20","","","7.46KB","","false",""
"apse1.beam-apac.event.subscription.user-subscription.v2","","20","","","17.78MB","","false",""
"apse1.beam-apac.internal.legal.localization.v1","","10","","","0B","","false",""
"apse1.beam-apac.kinesis.to.kafka.payment-method.v1","","20","","","0B","","false",""
"apse1.beam-apac.kinesis.to.kafka.transaction.v1","","20","","","0B","","false",""
"beam-apac.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-apac.entity.lightning-bird.v1","","6","","","0B","","false",""
"beam-apac.event.capabilities.internal.tvod-entitlement.v1","","40","","","0B","","false",""
"beam-apac.event.capabilities.user-capability.v1","","40","","","0B","","false",""
"beam-apac.event.capabilities.user-ppv.receipt.v1","","40","","","0B","","false",""
"beam-apac.event.capabilities.user-ppv.v1","","40","","","0B","","false",""
"beam-apac.event.gmssLogEvent.v1","","20","","","0B","","false",""
"beam-apac.event.lightning-bird.v1","","6","10B/s","10B/s","888.77KB","","false",""
"beam-apac.event.ssaiExternalTrackers.v1","","20","","","0B","","false",""
"beam-apac.event.ssaiXcoderNotification.v1","","20","","","0B","","false",""
"beam-apac.heartbeat-signal","","20","","","0B","","false",""
"beam-apac.morpheus-notification","","20","","","0B","","false",""
"event.content.updated.v1","","20","1.86KB/s","7.44KB/s","245.24MB","","false",""
"event.page-structure.structure.v1","","7","","","6.29MB","","false",""
"event.prs.page.v1","","3","","","1.32MB","","false",""
"event.pss.structure.v1","","7","","","0B","","false",""
"internal.entity.content.v1","","20","11.11KB/s","55.56KB/s","14GB","","false",""
"internal.entity.content.v2","","20","13.92KB/s","13.92KB/s","14.32GB","","false",""
"internal.labs.stats.v1","","250","","0B/s","4.43MB","","false",""
"use1.any-any.entity.gauth.partner.name","","20","","","2.27MB","","false",""
"use1.any-any.event.entitlements-metadata.edit-invalidation.v1","","20","","","34.39MB","","false",""
"use1.any-any.event.entitlements-metadata.tvod-invalidation.v1","","20","","","0B","","false",""
"use1.beam-apac.event.roku-instant-signup.v1","","6","","","0B","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.amazon.raw","","20","","","0B","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.apple.raw","","20","","","119.44KB","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.google.raw","","20","","","55.92KB","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.roku.v0","","20","","","0B","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.samsung.raw","","20","","","0B","","false",""
"use1.beam-apac.internal.event.payment.notification.iap.vizio.raw","","20","","","0B","","false",""
"use1.entity.adTargetingData.v4","","20","","","39.63MB","","false",""
"use1.entity.brand.v4","","20","","","883.52KB","","false",""
"use1.entity.capabilities.capability-definition.v1","","20","","","91.01KB","","false",""
"use1.entity.capabilities.capability-definition.v2","","20","","","98.13KB","","false",""
"use1.entity.capabilities.content.segment.v1","","10","","","22.73KB","","false",""
"use1.entity.capabilities.package.v1","","10","","","11.69KB","","false",""
"use1.entity.cdnImage.v2","","20","","","10.43GB","","false",""
"use1.entity.cms.avatar.v1","","3","","","159.34KB","","false",""
"use1.entity.cms.collection-metadata.v1","","3","","","3.65MB","","false",""
"use1.entity.cms.collection.v1","","3","","","5.56MB","","false",""
"use1.entity.cms.page-metadata.v1","","3","","","453.29KB","","false",""
"use1.entity.cms.page.v1","","3","","","202.5KB","","false",""
"use1.entity.cms.route-path.v2","","3","","","12.06KB","","false",""
"use1.entity.cms.territoryconfig.v1","","3","","","4.67KB","","false",""
"use1.entity.cms.variantscontainer.v1","","3","","","125.47KB","","false",""
"use1.entity.commercial-offers.campaign.v1","","6","","","295.59KB","","false",""
"use1.entity.commercial-offers.price-plan.v1","","6","","","1.54MB","","false",""
"use1.entity.edit.v4","","20","","","2.01GB","","false",""
"use1.entity.mezzanineManifestation.v4","","30","","0B/s","462.73MB","","false",""
"use1.entity.offer-catalog.internal.offers.price-plan.v1","","6","","","1.35MB","","false",""
"use1.entity.offer-catalog.internal.price-plan.v1","","6","","","1.35MB","","false",""
"use1.entity.offer-catalog.partner-sku.v1","","6","","","393.39KB","","false",""
"use1.entity.offering.v4","","20","","","9.74GB","","false",""
"use1.entity.playabilityEvent.v5","","30","","","0B","","false",""
"use1.entity.presentationManifestation.v4","","30","","10.6KB/s","17.24GB","","false",""
"use1.entity.product-catalog.internal.product-transition.v1","","6","","","75.98KB","","false",""
"use1.entity.product-catalog.internal.product.v1","","6","","","177.01KB","","false",""
"use1.entity.product-catalog.product.v1","","6","","","178.84KB","","false",""
"use1.entity.program.v4","","20","","","14.5GB","","false",""
"use1.entity.regionShape.v4","","30","","","14.55MB","","false",""
"use1.entity.rolledUpOffering.v4","","20","","5.99KB/s","5.84GB","","false",""
"use1.entity.rolledUpOffering.v4a","","20","","","2.68GB","","false",""
"use1.entity.scenes.v4","","20","","0B/s","1.47GB","","false",""
"use1.entity.series.v4","","20","","","890.66MB","","false",""
"use1.entity.timedMetadata.v4","","20","","","18.37MB","","false",""
"use1.event.campaign.internal.campaign-code-revoked.v1","","10","","","0B","","false",""
"use1.event.cms.experiment.v1","","3","","","1.36KB","","false",""
"use1.event.globalContentPopularityPerProductLine.series.v4","","20","","","13.68MB","","false",""
"use1.event.jobStatus.v4","","41","","","16.07GB","","false",""
"use1.event.localizationCacheInvalidation.v1","","20","","38.11KB/s","37.88MB","","false",""
"use1.event.playabilityEvent.v4","","30","","","15.65GB","","false",""
"use1.event.playbackCount.program.v4","","20","","","0B","","false",""
"use1.event.playbackCount.series.v4","","20","","","15.15MB","","false",""
"use1.internal.event.content.v1","","21","","149.72KB/s","175.53GB","","false",""
"use1.policy.commerce.v1","","20","","","2.17KB","","false",""
"use1.policy.consents.v1","","20","","","8.89KB","","false",""
"use1.policy.content.v1","","20","","","34.67KB","","false",""
"use1.policy.experience.v1","","20","","","7.33KB","","false",""
"use1.policy.geographic.v1","","20","","","117.77KB","","false",""
"use1.policy.localization.v1","","20","","","390.71KB","","false",""
"use1.policy.migration.v1","","20","","","2.41KB","","false",""
"use1.policy.profile.v1","","20","","","3.05KB","","false",""
"use1.policy.ratings.v1","","20","","","495.22KB","","false",""
