"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","0B/s","150B/s","1.07GB","20","false",""
"aggregate.airing.v5","","20","0B/s","150B/s","817.9MB","20","false",""
"aggregate.airingNotification.v4","","20","0B/s","470B/s","1010.15MB","12","false",""
"aggregate.airingNotification.v5","","20","0B/s","","799.91MB","","false",""
"aggregate.article.v4","","20","","143B/s","100.49MB","23","false",""
"aggregate.articleNotification.v4","","20","","","108.07MB","","false",""
"aggregate.brand.v4","","30","","230B/s","3.66MB","30","false",""
"aggregate.brandNotification.v4","","20","","","4.6MB","","false",""
"aggregate.edit.v4","","30","524B/s","760B/s","1.69GB","30","false",""
"aggregate.editNotification.v4","","20","361B/s","","1.65GB","","false",""
"aggregate.offering.v4","","50","1.19KB/s","4.7KB/s","3.37GB","150","false",""
"aggregate.offering.v5","","50","1.52KB/s","148.02MB/s","1.18GB","50","false",""
"aggregate.offeringNotification.v4","","20","2.13KB/s","50.89KB/s","2.89GB","48","false",""
"aggregate.offeringNotification.v5","","20","","","817.38MB","","false",""
"aggregate.program.v4","","30","19.1KB/s","22.68KB/s","1.03GB","33","false",""
"aggregate.programNotification.v4","","20","19.81KB/s","","1.08GB","","false",""
"aggregate.season.v4","","30","36B/s","262B/s","16.63MB","30","false",""
"aggregate.seasonNotification.v4","","20","77B/s","","20.4MB","","false",""
"aggregate.series.v4","","30","14B/s","228B/s","18.89MB","30","false",""
"aggregate.seriesNotification.v4","","20","15B/s","","23.06MB","","false",""
"aggregate.socialChannel.v4","","20","","145B/s","12.47MB","20","false",""
"aggregate.socialChannelNotification.v4","","20","","","12.89MB","","false",""
"aggregate.socialMedia.v4","","20","","148B/s","8.58MB","23","false",""
"aggregate.socialMediaNotification.v4","","20","","","7.98MB","","false",""
"ams.test.v1","","6","","","0B","","false",""
"ams.test.v2","","6","","","0B","","false",""
"ams.test.v3","","6","","","0B","","false",""
"any-amer.api.partner-fulfillment.actions.v1","","20","","0B/s","0B","5","false",""
"any-amer.api.payments.automated.receipts.v1","","20","","","0B","","false",""
"any-amer.api.payments.automated.v1","","80","","","0B","","false",""
"any-amer.api.payments.modifications.receipts.v1","","20","","","0B","","false",""
"any-amer.api.payments.modifications.v1","","20","","","0B","","false",""
"any-amer.entity.billing-address.v1","","20","","","0B","","false",""
"any-amer.entity.extra-member.access.v1","","10","","","3.12MB","","false",""
"any-amer.entity.extra-member.slot.v1","","10","","","58.73MB","","false",""
"any-amer.entity.household.v1","","20","","","109.35KB","","false",""
"any-amer.entity.iap-consumable.v1","","1","","","0B","","false",""
"any-amer.entity.idp.v1","","20","","","23.56MB","2","false",""
"any-amer.entity.maas.migration-state.v1","","3","","","78.88MB","","false",""
"any-amer.entity.maas.observation.ad-hoc.v2","","3","","","125.22MB","","false",""
"any-amer.entity.maas.observation.commerce-dtc.v1","","3","","","512.32MB","","false",""
"any-amer.entity.maas.observation.commerce-dtc.v2","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.exporter-result.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.paypro.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.commerce-iap.subscription.v1","","3","","","575B","","false",""
"any-amer.entity.maas.observation.commerce-iap.v2","","3","","","4.4MB","","false",""
"any-amer.entity.maas.observation.consent.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.consent.v2","","3","","","10.59KB","","false",""
"any-amer.entity.maas.observation.partner-integration.v2","","3","","","2.19KB","","false",""
"any-amer.entity.maas.observation.preferences.v1","","3","","","1.11KB","","false",""
"any-amer.entity.maas.observation.preferences.v2","","3","","","1.78MB","","false",""
"any-amer.entity.maas.observation.silhouette.v1","","3","","","280B","","false",""
"any-amer.entity.maas.observation.silhouette.v2","","3","","","69.01KB","","false",""
"any-amer.entity.maas.observation.user-account.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-account.v2","","3","","","609.76KB","","false",""
"any-amer.entity.maas.observation.user-authentication.v1","","3","","","0B","","false",""
"any-amer.entity.maas.observation.user-authentication.v2","","3","","","47.03KB","","false",""
"any-amer.entity.maas.observation.user-profile.v1","","3","","","0B","","false",""
