"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract","Tableflow"
"aggregate.airing.v4","","20","","","0B","","false",""
"aggregate.airingNotification.v4","","20","","","0B","","false",""
"aggregate.brand.v4","","30","","","0B","","false",""
"aggregate.brandNotification.v4","","20","","","0B","","false",""
"aggregate.edit.v4","","30","","","0B","","false",""
"aggregate.editNotification.v4","","20","","","0B","","false",""
"aggregate.offering.v4","","50","","","0B","","false",""
"aggregate.offeringNotification.v4","","20","","","0B","","false",""
"aggregate.program.v4","","30","","","0B","","false",""
"aggregate.programNotification.v4","","20","","","0B","","false",""
"aggregate.season.v4","","30","","","0B","","false",""
"aggregate.seasonNotification.v4","","20","","","0B","","false",""
"aggregate.series.v4","","30","","","0B","","false",""
"aggregate.seriesNotification.v4","","20","","","0B","","false",""
"any-any.dcp-databricks.isdk.growth-marketing.json.v1","","5","","","18.73MB","","false",""
"any-any.dcp-databricks.isdk.json.v1","","5","","","27.28MB","","false",""
"any-apac.event.gauth.audit","","20","","0B/s","41.53KB","","false",""
"any-apac.event.gauth.partner","","20","","0B/s","0B","","false",""
"any-apac.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-apac.event.gauth.user","","20","","0B/s","2.9KB","","false",""
"any-apac.event.lexicon.audit","","20","","","0B","","false",""
"any-emea.event.gauth.audit","","20","","0B/s","8.58MB","","false",""
"any-emea.event.gauth.partner","","20","","0B/s","160.49KB","","false",""
"any-emea.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-emea.event.gauth.user","","20","","0B/s","678.16KB","","false",""
"any-emea.event.lexicon.audit","","20","","0B/s","0B","","false",""
"any-emea.max.auditlog","","48","","","0B","","false",""
"any-emea.max.b2b.subscription","","24","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription","","24","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription.high","","18","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription.low","","6","","","0B","","false",""
"any-emea.max.refresh.b2b.subscription.medium","","12","","","0B","","false",""
"any-emea.refresh.b2b.subscription","","24","","","0B","","false",""
"any-emea.refresh.b2b.subscription.high","","18","","","0B","","false",""
"any-emea.refresh.b2b.subscription.low","","6","","","0B","","false",""
"any-emea.refresh.b2b.subscription.medium","","12","","","0B","","false",""
"any-latam.event.gauth.audit","","20","","0B/s","8.49MB","","false",""
"any-latam.event.gauth.partner","","20","","0B/s","274.06KB","","false",""
"any-latam.event.gauth.partnerFulfillmentConfirmation.v1","","20","","","0B","","false",""
"any-latam.event.gauth.user","","20","","0B/s","480.23KB","","false",""
"any-latam.event.lexicon.audit","","20","","0B/s","0B","","false",""
"beam-amer.heartbeat-signal","","20","","","0B","","false",""
"beam-amer.morpheus-notification","","20","","","0B","","false",""
"beam-any.dcp-databricks.essdk.json.v1","","5","","","0B","","false",""
"beam-apac.entity.capabilities.user-capability.v1","","40","","","0B","","false",""
